player_name,dg_id,my_pred
scottie scheffler,18417,2.908
jon rahm,19195,2.365
rory mcilroy,10091,2.331
bryson dechambeau,19841,1.945
tommy fleetwood,12294,1.985
xander schauffele,19895,1.808
tyrrell hatton,14796,1.617
collin morikawa,22085,1.54
viktor hovland,18841,1.577
ludvig aberg,23950,1.573
matt fitzpatrick,17646,1.48
joaquin niemann,18079,1.34
corey conners,17576,1.276
robert macintyre,23323,1.475
justin thomas,14139,1.35
adam scott,6430,1.217
sepp straka,17511,1.266
patrick cantlay,15466,1.299
aaron rai,18554,1.241
shane lowry,13900,1.34
sam burns,19483,1.218
maverick mcnealy,18634,1.192
russell henley,14578,1.218
ben griffin,24968,1.207
harry hall,27194,1.177
jordan spieth,14636,1.066
j.j. spaun,17536,1.031
keegan bradley,13872,1.033
harris english,14577,1.095
si woo kim,14609,1.062
taylor pendrith,17780,1.066
chris gotterup,27774,1.029
daniel berger,17606,0.944
patrick reed,14838,1.053
nick taylor,13126,0.909
nicolai hojgaard,23602,0.934
jason day,9771,0.917
marco penge,22465,0.918
andrew novak,23475,0.743
hideki matsuyama,13562,0.811
ryan fox,11889,0.935
max greyserman,23465,0.678
tom mckibbin,22322,0.855
davis thompson,27364,0.654
kevin yu,17881,0.687
jordan smith,18586,0.852
matt wallace,20706,0.78
christiaan bezuidenhout,18103,0.718
j.t. poston,21554,0.557
akshay bhatia,26096,0.515
michael kim,17543,0.59
thorbjorn olesen,13412,0.628
brian harman,8825,0.57
tom kim,24766,0.667
min woo lee,16841,0.693
laurie canter,14795,0.628
wyndham clark,23604,0.747
denny mccarthy,19870,0.593
rickie fowler,12965,0.504
cameron smith,15856,0.484
thomas detry,14181,0.546
justin rose,6093,0.668
carlos ortiz,14735,0.474
sungjae im,17488,0.612
cameron young,26651,0.57
bud cauley,14502,0.471
rasmus hojgaard,23838,0.621
byeong hun an,14459,0.457
lucas glover,7399,0.409
lucas herbert,17064,0.434
brooks koepka,16243,0.474
matt mccarty,28635,0.419
louis oosthuizen,7672,0.393
jesper svensson,26850,0.456
matti schmid,20722,0.435
niklas norgaard,15676,0.355
kristoffer reitan,21407,0.367
nico echavarria,22833,0.256
tony finau,11676,0.315
sergio garcia,5689,0.252
mackenzie hughes,15556,0.277
dean burmester,14424,0.365
dustin johnson,12422,0.245
jhonattan vegas,13508,0.247
daniel brown,20766,0.237
antoine rozner,18770,0.224
thriston lawrence,18105,0.298
tom hoge,15575,0.217
haotong li,15310,0.019
john parry,13764,0.087
chris kirk,12423,0.056
matthew jordan,25601,0.123
aldrich potgieter,27900,0.154
marc leishman,7649,-0.089
stephan jaeger,16394,-0.089
martin couvra,27811,-0.075
sahith theegala,23014,-0.123
matteo manassero,11460,-0.226
takumi kanaya,19729,-0.227
adrien saddier,14792,-0.123
sebastian soderberg,18517,-0.304
daniel hillier,21362,-0.335
davis riley,19872,-0.548
matthieu pavon,19960,-0.359
zach johnson,6986,-0.377
rikuya hoshino,19190,-0.382
nathan kimsey,18027,-0.419
julien guerrier,10201,-0.425
jason kokrak,12337,-0.429
romain langasque,16652,-0.435
henrik stenson,5994,-0.639
brian campbell,18628,-0.439
stewart cink,5665,-0.462
francesco molinari,7655,-0.479
john catlin,18524,-0.501
oliver lindell,20085,-0.516
elvis smylie,24200,-0.53
jacob skov olesen,25611,-0.553
shaun norris,7677,-0.583
padraig harrington,5716,-0.574
phil mickelson,1547,-0.695
sadom kaewkanjana,19844,-0.703
daniel van tonder,15193,-0.91
lee westwood,4052,-0.871
angel hidalgo portillo,24127,-1.1
guido migliozzi,17357,-1.115
justin suh,22050,-1.176
daniel young,19908,-1.183
younghan song,16160,-1.186
filip jakubcik,26482,-1.26
riki kawamoto,22844,-1.264
ethan fang,30032657,-1.27
shugo imahira,13485,-1.32
curtis luck,16842,-1.366
dylan naidoo,19429,-1.43
darren fichardt,5754,-1.457
sampson zheng,26764,-1.484
ryggs johnston,32449,-1.49
justin hastings,31960,-1.587
connor graham,30034865,-1.711
darren clarke,3523,-1.57
john axelsen,19637,-1.778
cameron adam,30031172,-1.827
mikiya akutsu,15726,-1.859
george bloor,26594,-1.975
justin walters,8045,-2.179
justin leonard,5603,-2.193
k.j. choi,1804,-2.335
ryan peake,15169,-2.366
jesper sandborg,20454,-2.491
seb cave,30032803,-2.647
richard teder,32733,-3.27
oj farrell,28292,-3.384
frazer jones,30040444,-3.644
curtis knipes,25976,-3.854
bryan newman,33256,-4.523
