player_name,dg_id,my_pred
scottie scheffler,18417,3.683
collin morikawa,22085,1.685
xander schauffele,19895,1.547
tommy fleetwood,12294,1.584
rory mcilroy,10091,1.12
sepp straka,17511,1.607
patrick cantlay,15466,1.615
keegan bradley,13872,1.574
russell henley,14578,1.537
aaron rai,18554,1.531
robert macintyre,23323,1.211
daniel berger,17606,1.267
ben griffin,24968,1.314
j.j. spaun,17536,1.343
si woo kim,14609,1.235
justin thomas,14139,1.108
viktor hovland,18841,1.43
shane lowry,13900,1.149
ludvig aberg,23950,1.17
maverick mcnealy,18634,0.992
jordan spieth,14636,1.005
sam burns,19483,1.044
harris english,14577,0.936
hideki matsuyama,13562,1.038
j.t. poston,21554,0.959
sungjae im,17488,0.927
jason day,9771,1.211
taylor pendrith,17780,0.847
adam scott,6430,1.017
tony finau,11676,0.758
nick taylor,13126,1.026
akshay bhatia,26096,0.95
brian harman,8825,0.899
ryan gerard,29767,0.779
andrew novak,23475,0.709
davis thompson,27364,0.821
matt fitzpatrick,17646,0.701
bud cauley,14502,0.519
sam stevens,25569,0.644
cameron young,26651,0.628
denny mccarthy,19870,0.635
mackenzie hughes,15556,0.427
tom hoge,15575,0.73
lucas glover,7399,0.712
kevin yu,17881,0.514
harry hall,27194,0.585
michael kim,17543,0.693
max greyserman,23465,0.458
christiaan bezuidenhout,18103,0.82
tom kim,24766,0.575
rickie fowler,12965,0.665
ryan fox,11889,0.04
thomas detry,14181,0.588
min woo lee,16841,0.358
alex noren,10419,0.314
luke clanton,32330,0.18
jacob bridgeman,29433,0.383
jhonattan vegas,13508,0.029
wyndham clark,23604,0.052
stephan jaeger,16394,0.165
byeong hun an,14459,0.11
austin eckroat,26653,0.006
gary woodland,12577,0.114
matti schmid,20722,-0.229
eric cole,21756,0.006
max homa,17538,-0.244
joe highsmith,28469,0.072
cam davis,17786,-0.186
brian campbell,18628,-0.622
adam hadwin,13965,0.558
matthieu pavon,19960,-0.544
nick dunlap,28270,-2.428
