datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie",Scottie Scheffler,150,39133426,13300,24.775,1:45 pm,0,95.7,30.0,0,125.7,0.85,100,40.435039284276016,
"McIlroy, Rory",Rory McIlroy,150,39133427,11500,21.040,10:35 am,1,78.5,7.0,0,85.5,-0.48,100,15.943045388612262,
"Schauffele, Xander",Xander Schauffele,150,39133428,10800,20.881,1:35 pm,0,80.1,12.0,0,92.1,-0.26,100,19.864237381659024,
"Morikawa, Collin",Collin Morikawa,150,39133429,10200,22.428,1:35 pm,0,81.3,20.0,0,101.3,0.48,100,19.93678086268448,
"Cantlay, Patrick",Patrick Cantlay,150,39133430,9800,21.014,12:00 pm,0,80.4,18.0,0,98.4,-0.03,100,14.511251029318517,
"Aberg, Ludvig",Ludvig Aberg,150,39133431,9600,20.178,10:25 am,1,77.0,5.0,0,82.0,-0.21,100,8.996780864527508,
"Thomas, Justin",Justin Thomas,150,39133432,9300,20.409,1:25 pm,0,76.2,5.0,0,81.2,-0.06,100,15.425530044473268,
"Straka, Sepp",Sepp Straka,150,39133433,9200,20.848,12:55 pm,0,80.1,14.0,0,94.1,0.37,100,13.565278761759789,
"Burns, Sam",Sam Burns,150,39133434,9100,19.427,10:25 am,1,76.1,4.0,0,80.1,-0.17,100,13.753978274288356,
"Hovland, Viktor",Viktor Hovland,150,39133435,9000,20.068,10:15 am,1,78.4,6.0,0,84.4,-0.01,100,17.889529377167822,
"Fleetwood, Tommy",Tommy Fleetwood,150,39133436,8900,20.617,9:55 am,1,80.2,16.0,0,96.2,0.4,100,15.174932942764412,
"Henley, Russell",Russell Henley,150,39133437,8800,20.793,11:50 am,0,79.7,9.0,0,88.7,0.4,100,14.26620241926148,
"Spaun, J.J.",J.J. Spaun,150,39133439,8600,19.873,1:45 pm,0,77.2,5.0,0,82.2,0.22,100,13.007572518762146,
"Bradley, Keegan",Keegan Bradley,150,39133440,8500,20.840,10:35 am,1,79.9,10.0,0,89.9,0.65,100,12.801362254978539,
"MacIntyre, Robert",Robert Macintyre,150,39133441,8400,19.886,10:15 am,1,77.4,6.0,0,83.4,0.35,100,16.333247000456588,
"Lowry, Shane",Shane Lowry,150,39133442,8300,20.096,1:05 pm,0,76.9,5.0,0,81.9,0.36,100,9.429890464865505,
"Spieth, Jordan",Jordan Spieth,150,39133443,8200,19.321,1:55 pm,0,75.6,4.0,0,79.6,0.06,100,17.09999609795477,
"Griffin, Ben",Ben Griffin,150,39133445,8100,19.658,10:45 am,1,78.0,6.0,0,84.0,0.45,100,14.82058785606969,
"Matsuyama, Hideki",Hideki Matsuyama,150,39133444,8100,19.106,1:25 pm,0,75.9,4.0,0,79.9,0.05,100,9.078333506775083,
"Im, Sungjae",Sungjae Im,150,39133446,7900,18.500,12:00 pm,0,75.2,3.0,0,78.2,0.02,100,8.169975754360522,
"Pendrith, Taylor",Taylor Pendrith,150,39133447,7900,18.159,12:20 pm,0,74.5,2.0,0,76.5,-0.06,100,5.0778660106170275,
"Kim, Si Woo",Si Woo Kim,150,39133449,7800,19.787,12:30 pm,0,78.1,6.0,0,84.1,0.63,100,8.168032493871415,
"Young, Cameron",Cameron Young,150,39133448,7800,18.031,10:05 am,1,72.8,1.0,0,73.8,-0.14,100,14.927473219651334,
"English, Harris",Harris English,150,39133450,7700,18.975,10:55 am,1,75.3,3.0,0,78.3,0.2,100,5.895907931310257,
"Finau, Tony",Tony Finau,150,39133451,7700,18.293,8:50 am,1,74.0,2.0,0,76.0,-0.01,100,7.726954959067752,
"Scott, Adam",Adam Scott,150,39133452,7600,18.581,10:05 am,1,75.3,3.0,0,78.3,0.01,100,6.851541476847244,
"McNealy, Maverick",Maverick McNealy,150,39133453,7600,19.188,11:40 am,0,75.6,4.0,0,79.6,0.57,100,8.402458913429609,
"Berger, Daniel",Daniel Berger,150,39133454,7500,20.150,11:10 am,0,77.7,6.0,0,83.7,0.87,100,12.15099283935024,
"Rai, Aaron",Aaron Rai,150,39133455,7500,20.112,12:55 pm,0,79.4,8.0,0,87.4,1,100,10.837053522790217,
"Bhatia, Akshay",Akshay Bhatia,150,39133457,7400,18.700,12:45 pm,0,75.0,3.0,0,78.0,0.2,100,11.121399231188,
"Clanton, Luke",Luke Clanton,150,39133456,7400,17.225,1:55 pm,0,68.9,0.0,0,68.9,-0.25,100,3.2980789027462927,
"Lee, Min Woo",Min Woo Lee,150,39133458,7300,16.940,8:30 am,1,70.7,0.0,0,70.7,-0.2,100,3.9595635907177162,
"Poston, J.T.",J.T. Poston,150,39133459,7300,18.810,1:15 pm,0,75.0,3.0,0,78.0,0.36,100,6.457607611947317,
"Fowler, Rickie",Rickie Fowler,150,39133461,7200,17.525,11:30 am,0,72.5,1.0,0,73.5,-0.09,100,7.826073062647749,
"Harman, Brian",Brian Harman,150,39133460,7200,18.400,12:45 pm,0,74.7,2.0,0,76.7,0.23,100,13.113346229746524,
"Hall, Harry",Harry Hall,150,39133464,7100,16.845,8:30 am,1,72.5,1.0,0,73.5,-0.13,100,6.01459660799467,
"Hughes, Mackenzie",Mackenzie Hughes,150,39133462,7100,17.915,8:40 am,1,71.6,0.0,0,71.6,0.05,100,3.778554210950143,
"Kim, Tom",Tom Kim,150,39133463,7100,17.289,8:20 am,1,73.2,2.0,0,75.2,-0.06,100,8.656815131095367,
"Fox, Ryan",Ryan Fox,150,39133467,7000,17.071,10:45 am,1,70.0,0.0,0,70.0,-0.09,100,6.824034097312348,
"McCarthy, Denny",Denny McCarthy,150,39133465,7000,17.889,1:05 pm,0,72.9,2.0,0,74.9,0.03,100,6.276966074023525,
"Day, Jason",Jason Day,150,39133466,7000,18.854,9:10 am,1,76.3,5.0,0,81.3,0.52,100,7.30785766194739,
"Fitzpatrick, Matt",Matt Fitzpatrick,150,39133468,6900,18.104,1:15 pm,0,72.9,1.0,0,73.9,0.25,100,5.695114345429432,
"Greyserman, Max",Max Greyserman,150,39133469,6900,17.609,9:45 am,1,71.9,1.0,0,72.9,0.06,100,5.521047247110257,
