Team,Previous_SP,Updated_SP,Change
Air Force,-7.3,-7.3,0.0
Akron,-19.3,-19.8,-0.5
Alabama,27.9,26.2,-1.7
App. St.,-8.8,-8.8,0.0
Arizona,0.7,0.2,-0.5
Arizona St.,12.2,12.2,0.0
Arkansas,7.0,7.0,0.0
Arkansas St.,-9.9,-9.9,0.0
Army,-0.6,-0.6,0.0
Auburn,11.8,11.7,-0.1
BYU,11.5,11.5,0.0
Ball St.,-21.2,-21.4,-0.2
Baylor,7.5,7.6,0.1
Boise St.,9.2,13.9,4.7
Boston Coll.,0.3,0.3,0.0
Bowling Green,-13.7,-13.7,0.0
Buffalo,-7.1,-7.2,-0.1
CMU,-14.8,-14.4,0.4
California,-0.3,-0.6,-0.3
Charlotte,-19.4,-19.4,0.0
Cincinnati,-0.3,0.9,1.2
Clemson,23.3,22.9,-0.4
Coastal Caro.,-7.3,-8.8,-1.5
Colorado,2.6,2.8,0.2
Colorado St.,-8.3,-8.0,0.3
Delaware,-13.0,-13.0,0.0
Duke,4.9,4.9,0.0
ECU,-6.6,-6.6,0.0
EMU,-14.2,-15.0,-0.8
FAU,-14.4,-14.0,0.4
FIU,-18.0,-18.0,0.0
Florida,17.3,12.6,-4.7
Florida St.,7.2,8.9,1.7
Fresno St.,-6.2,-6.2,0.0
Ga. Southern,-4.0,-4.3,-0.3
Ga. Tech,4.7,4.5,-0.2
Georgia,26.9,23.4,-3.5
Georgia St.,-14.3,-11.6,2.7
Hawaii,-11.5,-10.7,0.8
Houston,0.9,0.9,0.0
Illinois,14.3,14.3,0.0
Indiana,12.2,10.9,-1.3
Iowa,11.4,11.4,0.0
Iowa St.,11.0,10.8,-0.2
J'ville St.,-10.4,-10.7,-0.3
JMU,3.0,3.0,0.0
Kansas,3.0,3.3,0.3
Kansas St.,15.6,15.8,0.2
Kennesaw St.,-18.9,-18.9,0.0
Kent St.,-24.9,-24.9,0.0
Kentucky,4.7,5.0,0.3
LSU,22.1,22.5,0.4
La. Tech,-11.9,-11.9,0.0
Liberty,-1.1,-1.1,0.0
Louisiana,-3.1,-3.7,-0.6
Louisville,12.1,12.1,0.0
Marshall,-9.4,-5.9,3.5
Maryland,-1.1,-1.5,-0.4
Memphis,2.1,2.1,0.0
Miami,18.8,19.4,0.6
Miami-OH,-7.6,-7.2,0.4
Michigan,21.5,17.4,-4.1
Michigan St.,-0.2,-0.3,-0.1
Middle Tenn.,-16.4,-16.4,0.0
Minnesota,6.0,6.1,0.1
Miss. St.,-1.4,-1.8,-0.4
Missouri,12.5,12.5,0.0
Missouri St.,-17.6,-16.2,1.4
N. Carolina,2.0,3.4,1.4
N. Texas,-7.2,-7.2,0.0
NC St.,4.8,9.6,4.8
NIU,-11.0,-11.0,0.0
Navy,-1.0,-1.0,0.0
Nebraska,8.9,8.7,-0.2
Nevada,-16.3,-11.4,4.9
New Mexico,-18.4,-14.0,4.4
New Mexico St.,-16.0,-16.0,0.0
Northwestern,-6.1,-4.6,1.5
Notre Dame,24.9,24.3,-0.6
ODU,-10.2,-8.9,1.3
Ohio,-4.4,-4.0,0.4
Ohio St.,29.5,27.4,-2.1
Oklahoma,16.5,16.5,0.0
Oklahoma St.,0.9,0.9,0.0
Ole Miss,19.8,17.1,-2.7
Oregon,24.7,24.7,0.0
Oregon St.,-2.4,-2.1,0.3
Penn St.,27.7,22.8,-4.9
Pittsburgh,3.4,3.4,0.0
Purdue,-10.0,-9.8,0.2
Rice,-15.8,-15.2,0.6
Rutgers,4.7,4.3,-0.4
S. Alabama,-3.4,-3.4,0.0
S. Carolina,16.1,9.5,-6.6
SDSU,-10.1,-10.1,0.0
SJSU,-5.2,-5.6,-0.4
SMU,13.1,13.1,0.0
Sam Houston,-11.1,-12.6,-1.5
So. Miss,-17.7,-17.3,0.4
Stanford,-6.2,-6.5,-0.3
Syracuse,1.6,2.5,0.9
TCU,11.1,9.7,-1.4
Temple,-16.4,-17.6,-1.2
Tennessee,18.4,17.5,-0.9
Texas,26.4,27.2,0.8
Texas A&M,17.2,16.5,-0.7
Texas St.,-7.2,-6.4,0.8
Texas Tech,11.8,11.8,0.0
Toledo,-1.4,-1.7,-0.3
Troy,-6.0,-6.0,0.0
Tulane,3.3,1.8,-1.5
Tulsa,-15.6,-15.6,0.0
UAB,-13.8,-13.8,0.0
UCF,0.4,0.7,0.3
UCLA,2.9,3.4,0.5
UConn,-5.4,-5.4,0.0
UL-Monroe,-14.6,-14.6,0.0
UMass,-23.9,-22.7,1.2
UNLV,-3.3,-1.9,1.4
USC,11.0,9.6,-1.4
USF,-3.5,-3.5,0.0
UTEP,-16.1,-15.9,0.2
UTSA,0.0,0.7,0.7
Utah,11.0,10.5,-0.5
Utah St.,-14.8,-15.0,-0.2
Va. Tech,4.3,4.3,0.0
Vanderbilt,1.7,1.7,0.0
Virginia,-4.3,-1.0,3.3
W. Virginia,1.0,1.0,0.0
WKU,-5.8,-5.7,0.1
WMU,-14.8,-14.7,0.1
Wake Forest,-4.6,-4.6,0.0
Wash. St.,-4.8,-4.8,0.0
Washington,6.4,6.1,-0.3
Wisconsin,7.2,6.8,-0.4
Wyoming,-10.8,-10.3,0.5
