Team,Previous_SP,Updated_SP,Change
Air Force,-7.3,-7.3,0.0
Akron,-19.3,-19.68,-0.38
Alabama,27.9,25.08,-2.82
App. St.,-8.8,-8.7,0.1
Arizona,0.7,0.48,-0.22
Arizona St.,12.2,12.2,0.0
Arkansas,7.0,7.0,0.0
Arkansas St.,-9.9,-9.9,0.0
Army,-0.6,-0.95,-0.35
Auburn,11.8,14.79,2.99
BYU,11.5,11.5,0.0
Ball St.,-21.2,-21.9,-0.7
Baylor,7.5,7.77,0.27
Boise St.,9.2,9.33,0.13
Boston Coll.,0.3,0.3,0.0
Bowling Green,-13.7,-13.7,0.0
Buffalo,-7.1,-7.33,-0.23
CMU,-14.8,-14.65,0.15
California,-0.3,-1.07,-0.77
Charlotte,-19.4,-19.5,-0.1
Cincinnati,-0.3,1.0,1.3
Clemson,23.3,21.55,-1.75
Coastal Caro.,-7.3,-9.05,-1.75
Colorado,2.6,1.97,-0.63
Colorado St.,-8.3,-9.12,-0.82
Delaware,-13.0,-13.0,0.0
Duke,4.9,6.19,1.29
ECU,-6.6,-6.0,0.6
EMU,-14.2,-15.45,-1.25
FAU,-14.4,-14.57,-0.17
FIU,-18.0,-18.0,0.0
Florida,17.3,17.39,0.09
Florida St.,7.2,8.27,1.07
Fresno St.,-6.2,-5.99,0.21
Ga. Southern,-4.0,-4.66,-0.66
Ga. Tech,4.7,8.3,3.6
Georgia,26.9,25.88,-1.02
Georgia St.,-14.3,-14.52,-0.22
Hawaii,-11.5,-10.96,0.54
Houston,0.9,0.9,0.0
Illinois,14.3,13.08,-1.22
Indiana,12.2,12.29,0.09
Iowa,11.4,11.21,-0.19
Iowa St.,11.0,10.84,-0.16
J'ville St.,-10.4,-11.2,-0.8
JMU,3.0,3.0,0.0
Kansas,3.0,6.02,3.02
Kansas St.,15.6,13.61,-1.99
Kennesaw St.,-18.9,-19.07,-0.17
Kent St.,-24.9,-24.9,0.0
Kentucky,4.7,4.92,0.22
LSU,22.1,21.97,-0.13
La. Tech,-11.9,-11.9,0.0
Liberty,-1.1,-1.1,0.0
Louisiana,-3.1,-3.28,-0.18
Louisville,12.1,12.54,0.44
Marshall,-9.4,-9.57,-0.17
Maryland,-1.1,-0.92,0.18
Memphis,2.1,2.1,0.0
Miami,18.8,18.66,-0.14
Miami-OH,-7.6,-7.65,-0.05
Michigan,21.5,16.84,-4.66
Michigan St.,-0.2,1.8,2.0
Middle Tenn.,-16.4,-16.4,0.0
Minnesota,6.0,6.23,0.23
Miss. St.,-1.4,-0.76,0.64
Missouri,12.5,11.74,-0.76
Missouri St.,-17.6,-17.95,-0.35
N. Carolina,2.0,2.99,0.99
N. Texas,-7.2,-7.2,0.0
NC St.,4.8,3.79,-1.01
NIU,-11.0,-11.0,0.0
Navy,-1.0,-0.65,0.35
Nebraska,8.9,9.7,0.8
Nevada,-16.3,-16.05,0.25
New Mexico,-18.4,-16.68,1.72
New Mexico St.,-16.0,-16.0,0.0
Northwestern,-6.1,-4.75,1.35
Notre Dame,24.9,22.8,-2.1
ODU,-10.2,-9.85,0.35
Ohio,-4.4,-4.62,-0.22
Ohio St.,29.5,27.29,-2.21
Oklahoma,16.5,16.74,0.24
Oklahoma St.,0.9,0.9,0.0
Ole Miss,19.8,18.16,-1.64
Oregon,24.7,23.97,-0.73
Oregon St.,-2.4,-1.62,0.78
Penn St.,27.7,26.66,-1.04
Pittsburgh,3.4,3.8,0.4
Purdue,-10.0,-9.3,0.7
Rice,-15.8,-15.63,0.17
Rutgers,4.7,4.93,0.23
S. Alabama,-3.4,-3.4,0.0
S. Carolina,16.1,14.78,-1.32
SDSU,-10.1,-10.1,0.0
SJSU,-5.2,-5.35,-0.15
SMU,13.1,12.66,-0.44
Sam Houston,-11.1,-13.21,-2.11
So. Miss,-17.7,-17.38,0.32
Stanford,-6.2,-6.52,-0.32
Syracuse,1.6,2.05,0.45
TCU,11.1,10.32,-0.78
Temple,-16.4,-17.02,-0.62
Tennessee,18.4,17.35,-1.05
Texas,26.4,26.56,0.16
Texas A&M,17.2,18.44,1.24
Texas St.,-7.2,-5.95,1.25
Texas Tech,11.8,12.01,0.21
Toledo,-1.4,-1.62,-0.22
Troy,-6.0,-6.0,0.0
Tulane,3.3,1.95,-1.35
Tulsa,-15.6,-15.6,0.0
UAB,-13.8,-13.8,0.0
UCF,0.4,1.2,0.8
UCLA,2.9,3.18,0.28
UConn,-5.4,-5.4,0.0
UL-Monroe,-14.6,-14.6,0.0
UMass,-23.9,-23.27,0.63
UNLV,-3.3,-1.61,1.69
USC,11.0,12.78,1.78
USF,-3.5,-3.33,0.17
UTEP,-16.1,-16.03,0.07
UTSA,0.0,-0.2,-0.2
Utah,11.0,10.96,-0.04
Utah St.,-14.8,-14.88,-0.08
Va. Tech,4.3,5.5,1.2
Vanderbilt,1.7,2.87,1.17
Virginia,-4.3,-2.55,1.75
W. Virginia,1.0,0.6,-0.4
WKU,-5.8,-5.37,0.43
WMU,-14.8,-15.4,-0.6
Wake Forest,-4.6,-4.43,0.17
Wash. St.,-4.8,-4.8,0.0
Washington,6.4,8.21,1.81
Wisconsin,7.2,7.25,0.05
Wyoming,-10.8,-10.43,0.37
