player_name,dg_id,my_pred
aaron rai,18554,67.318
matt fitzpatrick,17646,67.413
keegan bradley,13872,67.459
si woo kim,14609,67.534
robert macintyre,23323,67.552
ben griffin,24968,67.555
lucas glover,7399,67.634
jordan spieth,14636,67.761
hideki matsuyama,13562,67.673
ryan gerard,29767,67.92
akshay bhatia,26096,67.749
christiaan bezuidenhout,18103,67.829
j.t. poston,21554,67.897
harry hall,27194,67.854
kurt kitayama,21891,67.866
sungjae im,17488,67.94
rickie fowler,12965,67.968
davis thompson,27364,67.95
denny mccarthy,19870,67.933
sam stevens,25569,68.065
rico hoey,23504,68.107
jake knapp,19396,68.09
andrew putnam,14704,68.108
alex noren,10419,68.143
matt wallace,20706,68.083
kevin yu,17881,68.127
alex smalley,18474,68.141
andrew novak,23475,68.095
adam scott,6430,68.07
takumi kanaya,19729,68.173
doug ghim,24550,68.123
emiliano grillo,12808,68.184
chris kirk,12423,68.193
bud cauley,14502,68.216
max mcgreevy,23505,68.293
austin eckroat,26653,68.233
michael kim,17543,68.223
nicolai hojgaard,23602,68.226
thorbjorn olesen,13412,68.328
matt mccarty,28635,68.377
taylor moore,21944,68.379
pierceson coody,28309,68.257
max greyserman,23465,68.238
tom kim,24766,68.279
jesper svensson,26850,68.331
victor perez,20730,68.317
jackson koivun,32319,68.269
keith mitchell,17365,68.324
kevin roy,18424,68.453
michael thorbjornsen,26649,68.382
jacob bridgeman,29433,68.403
mark hubbard,16333,68.436
byeong hun an,14459,68.352
ryan fox,11889,68.407
nico echavarria,22833,68.427
luke clanton,32330,68.431
ben kohles,16395,68.456
vince whaley,25908,68.463
lee hodges,25157,68.429
gary woodland,12577,68.479
carson young,23656,68.477
ryo hisatsune,22760,68.485
thomas detry,14181,68.448
matt kuchar,6169,68.424
webb simpson,11049,68.447
beau hossler,15470,68.506
joel dahmen,14509,68.533
max homa,17538,68.557
thomas rosenmueller,22736,68.619
david lipsky,15980,68.565
cameron young,26651,68.456
seamus power,10104,68.57
william mouw,29770,68.644
erik van rooyen,17550,68.604
henrik norlander,11657,68.609
zach johnson,6986,68.629
rasmus hojgaard,23838,68.581
matti schmid,20722,68.638
patrick fishburn,25094,68.606
thriston lawrence,18105,68.726
paul peterson,16341,68.68
eric cole,21756,68.543
brice garnett,11451,68.691
sam ryder,16715,68.702
chad ramey,19840,68.721
adam svensson,13997,68.753
greyson sigg,23482,68.754
antoine rozner,18770,68.758
ricky castillo,27819,68.761
nate lashley,10943,68.803
mac meissner,28159,68.822
patrick rodgers,16283,68.833
sami valimaki,23816,68.834
tony finau,11676,68.732
kris ventura,15651,68.835
brian campbell,18628,68.842
steven fisk,26657,68.856
ben silverman,17381,68.856
isaiah salinda,27183,68.881
chan kim,15004,68.891
quade cummins,27996,68.898
chandler phillips,27164,68.903
noah goodwin,24837,68.919
sahith theegala,23014,68.923
brandt snedeker,8820,68.955
niklas norgaard,15676,68.958
matteo manassero,11460,68.971
zac blair,17639,68.991
nick hardy,19865,68.996
joe highsmith,28469,68.999
adam hadwin,13965,68.999
lanto griffin,15330,69.039
harry higgs,14140,69.044
david skinns,10873,69.05
will gordon,26660,69.088
stephan jaeger,16394,69.0
luke list,7960,69.12
jackson suber,29279,69.128
garrick higgo,24342,69.133
justin lower,17723,69.217
matthieu pavon,19960,69.219
davis riley,19872,69.25
john pak,27820,69.289
david ford,31343,69.326
trevor cone,21880,69.359
cam davis,17786,69.379
kevin kisner,11328,69.406
chesson hadley,14967,69.435
danny walker,25003,69.462
karl vilips,24304,69.502
patton kizzire,13470,69.507
trey mullinax,18761,69.572
adam schenk,19477,69.588
camilo villegas,9171,69.626
kevin velo,27762,69.703
peter malnati,14926,69.82
philip knowles,24562,69.976
matthew riedel,30892,70.016
cristobal del solar,17422,70.055
taylor dickson,27420,70.161
kaito onishi,25263,70.19
rafael campos,12909,70.211
aaron wise,22051,70.313
braden thornberry,23502,70.319
nick dunlap,28270,70.35
will chandler,31212,70.419
aaron baddeley,6252,70.87
gordon sargent,30814,70.876
frankie capan iii,21412,70.931
ryan palmer,7820,71.047
jim herman,12846,71.244
scotty kennon,30028168,71.654
tain lee,16598,71.973
austin duncan,30937,72.008
stephen franken,26517,72.176
preston cole,27707,74.261
