player_name,make_cut,top_20,top_10,top_5,win
"Reed, Patrick",0.952,0.842,0.671,0.489,0.169
"Neergaard-Petersen, Rasmus",0.932,0.775,0.58,0.396,0.118
"Puig, David",0.912,0.724,0.521,0.34,0.1
"Smith, Jordan",0.9,0.68,0.463,0.284,0.067
"Penge, Marco",0.853,0.553,0.361,0.205,0.047
"Schaper, Jayden",0.834,0.555,0.337,0.187,0.032
"Schmid, Matti",0.83,0.533,0.325,0.178,0.038
"Ferguson, Ewen",0.834,0.529,0.309,0.162,0.033
"Chacarra, Eugenio",0.822,0.517,0.301,0.165,0.037
"Laporta, Francesco",0.816,0.484,0.279,0.145,0.022
"Garcia, Sergio",0.815,0.476,0.269,0.142,0.026
"Li, Haotong",0.803,0.453,0.258,0.139,0.022
"Saddier, Adrien",0.805,0.45,0.251,0.12,0.023
"Couvra, Martin",0.768,0.426,0.23,0.112,0.017
"Nakajima, Keita",0.769,0.381,0.198,0.099,0.017
"Schneider, Marcel",0.766,0.385,0.208,0.104,0.014
"Luiten, Joost",0.77,0.38,0.188,0.091,0.016
"Canter, Laurie",0.749,0.37,0.18,0.081,0.012
"Reitan, Kristoffer",0.749,0.366,0.183,0.089,0.017
"Ayora, Angel",0.734,0.358,0.181,0.083,0.013
"Von Dellingshausen, Nicolai",0.735,0.343,0.176,0.085,0.014
"Parry, John",0.727,0.306,0.139,0.062,0.008
"Fitzpatrick, Alex",0.7,0.297,0.135,0.06,0.009
"Stone, Brandon",0.696,0.29,0.138,0.055,0.006
"Campillo, Jorge",0.676,0.266,0.121,0.049,0.006
"Hillier, Daniel",0.683,0.265,0.12,0.052,0.006
"Zanotti, Fabrizio",0.68,0.257,0.116,0.051,0.007
"Mansell, Richard",0.668,0.233,0.107,0.041,0.004
"Sullivan, Andy",0.666,0.238,0.101,0.04,0.005
"Hill, Calum",0.661,0.231,0.099,0.04,0.004
"Crocker, Sean",0.652,0.229,0.098,0.04,0.005
"Lacroix, Frederic",0.659,0.233,0.103,0.037,0.006
"Lindell, Oliver",0.652,0.229,0.103,0.046,0.007
"Molinari, Edoardo",0.652,0.214,0.09,0.035,0.004
"Jordan, Matthew",0.637,0.218,0.088,0.035,0.004
"Guerrier, Julien",0.634,0.22,0.095,0.036,0.006
"Norris, Shaun",0.632,0.195,0.082,0.032,0.005
"Bairstow, Sam",0.616,0.197,0.078,0.028,0.003
"Kruyswijk, Jacques",0.624,0.175,0.072,0.027,0.003
"Bradbury, Dan",0.604,0.167,0.069,0.024,0.003
"Veerman, Johannes",0.602,0.176,0.069,0.026,0.002
"Langasque, Romain",0.585,0.162,0.061,0.024,0.003
"Clements, Todd",0.584,0.164,0.057,0.023,0.003
"Olesen, Jacob Skov",0.579,0.155,0.063,0.026,0.003
"Kieffer, Maximilian",0.572,0.153,0.057,0.025,0.003
"Ding, Wenyi",0.575,0.154,0.059,0.021,0.002
"Robinson-Thompson, Brandon",0.567,0.138,0.05,0.018,0.002
"Aphibarnrat, Kiradech",0.574,0.14,0.051,0.017,0.001
"Paul, Yannik",0.546,0.123,0.047,0.015,0.002
"Syme, Connor",0.543,0.121,0.042,0.014,0.001
"Wiesberger, Bernd",0.551,0.12,0.042,0.013,0.001
"Dantorp, Jens",0.53,0.108,0.034,0.009,0.001
"Nienaber, Wilco",0.533,0.104,0.033,0.011,0.001
"Pavan, Andrea",0.52,0.112,0.04,0.012,0.002
"Armitage, Marcus",0.521,0.09,0.027,0.007,0.001
"Van Driel, Darius",0.505,0.085,0.03,0.01,0.002
"Cantero Gutierrez, Ivan",0.488,0.09,0.03,0.011,0.001
"Siem, Marcel",0.492,0.085,0.028,0.009,0.001
"Kimsey, Nathan",0.477,0.087,0.027,0.011,0.001
"Del Rey, Alejandro",0.479,0.08,0.026,0.009,0.0
"Gouveia, Ricardo",0.465,0.084,0.025,0.008,0.001
"Ravetto, David",0.469,0.078,0.028,0.007,0.001
"Brown, Daniel",0.467,0.078,0.025,0.008,0.001
"Cockerill, Aaron",0.471,0.075,0.022,0.005,0.0
"Katsuragawa, Yuto",0.462,0.082,0.029,0.008,0.0
"Coussaud, Ugo",0.461,0.081,0.024,0.008,0.0
"Lemke, Niklas",0.465,0.078,0.022,0.007,0.0
"Winther, Jeff",0.461,0.077,0.025,0.007,0.0
"Elvira, Manuel",0.459,0.068,0.019,0.006,0.001
"Kobori, Kazuma",0.444,0.071,0.023,0.007,0.0
"Vaillant, Tom",0.454,0.075,0.023,0.006,0.0
"Elvira Mijares, Ignacio",0.444,0.065,0.02,0.006,0.0
"Schott, Freddy",0.438,0.069,0.018,0.006,0.0
"Green, Gavin",0.437,0.059,0.017,0.007,0.001
"Forrest, Grant",0.435,0.057,0.016,0.004,0.001
"Halvorsen, Andreas",0.422,0.057,0.016,0.006,0.0
"Larrazabal, Pablo",0.416,0.059,0.018,0.006,0.0
