Team,GroupWinner%,Knockout%,Quarterfinal%,Semifinal%,Final%,Champion%,ChampionOdds
Palmeiras,63.0,87.8,43.2,20.0,9.1,4.6,2074
Porto,17.9,54.8,16.3,5.9,1.7,0.5,19900
Al Ahly,16.4,47.9,14.4,4.5,1.5,0.4,24900
Inter Miami,2.7,9.5,1.4,0.4,0.0,0.0,
Paris Saint-Germain,95.9,99.6,71.6,42.3,24.6,13.2,658
Atletico Madrid,2.4,83.5,49.4,23.1,11.4,5.5,1718
Botafogo,1.6,15.1,3.0,0.3,0.0,0.0,
Seattle Sounders,0.1,1.8,0.7,0.2,0.0,0.0,
Bayern Munich,76.8,94.7,61.7,38.6,24.1,13.7,630
Benfica,17.9,67.5,31.8,13.0,5.6,2.3,4248
Boca Juniors,4.8,25.5,7.0,2.4,0.8,0.4,24900
Auckland City,0.5,12.3,2.8,0.4,0.1,0.0,
Flamengo,28.2,91.0,36.7,16.6,6.1,2.5,3900
Chelsea,71.0,97.2,57.3,31.8,18.4,10.1,890
Esperance Sportive de Tunis,0.4,4.2,1.0,0.3,0.1,0.0,
Los Angeles FC,0.4,7.6,1.7,0.2,0.1,0.0,
River Plate,5.6,40.9,7.9,1.0,0.2,0.0,
Inter Milan,88.5,98.0,68.2,35.9,18.9,9.4,964
Urawa Red Diamonds,5.9,61.1,13.1,2.5,0.1,0.0,
Fluminense,19.9,60.5,28.7,11.0,4.2,1.4,7043
Borussia Dortmund,65.4,88.5,64.6,33.2,14.7,7.9,1166
Ulsan HD,4.0,16.8,4.6,0.5,0.0,0.0,
Mamelodi Sundowns,10.7,34.2,12.9,4.3,1.4,0.1,99900
Manchester City,70.4,94.9,64.7,39.0,22.2,11.8,747
Juventus,25.5,84.2,39.6,21.4,8.2,3.0,3233
Wydad AC,3.1,15.8,3.3,0.9,0.0,0.0,
Al Ain,1.0,5.1,0.2,0.0,0.0,0.0,
Real Madrid,74.3,92.0,60.1,39.7,23.2,12.9,675
FC Salzburg,7.8,31.5,8.5,2.7,0.8,0.1,99900
Al Hilal,11.7,51.1,15.8,5.8,2.0,0.2,49900
CF Pachuca,6.2,25.4,7.8,2.1,0.5,0.0,
