team,group_win,knockout,quarterfinal,semifinal,final,champion
Paris Saint‑Germain,0.786,0.985,0.811,0.589,0.419,0.281
Manchester City,0.726,0.956,0.671,0.414,0.23,0.125
Inter Milan,0.863,0.975,0.721,0.417,0.222,0.113
Real Madrid,0.772,0.94,0.595,0.409,0.201,0.105
Bayern Munich,0.671,0.906,0.612,0.345,0.19,0.098
Atletico Madrid,0.207,0.923,0.593,0.31,0.154,0.065
Chelsea,0.644,0.884,0.528,0.232,0.125,0.06
Borussia Dortmund,0.643,0.868,0.57,0.252,0.096,0.039
Juventus,0.247,0.856,0.401,0.22,0.083,0.031
Palmeiras,0.547,0.81,0.299,0.135,0.059,0.02
Benfica,0.232,0.708,0.345,0.124,0.055,0.018
Flamengo,0.256,0.732,0.305,0.115,0.046,0.017
Al Ahly,0.256,0.636,0.166,0.061,0.021,0.006
Al Hilal,0.127,0.56,0.181,0.067,0.02,0.005
Fluminense,0.189,0.578,0.227,0.069,0.018,0.004
Porto,0.178,0.48,0.105,0.039,0.014,0.004
Mamelodi Sundowns,0.128,0.404,0.143,0.041,0.011,0.004
Esperance Sportive de Tunis,0.084,0.298,0.083,0.022,0.006,0.002
CF Monterrey,0.099,0.688,0.241,0.052,0.012,0.001
Boca Juniors,0.065,0.247,0.08,0.016,0.005,0.001
CF Pachuca,0.048,0.236,0.055,0.015,0.004,0.001
Wydad AC,0.026,0.171,0.037,0.01,0.002,0.0
Auckland City,0.032,0.139,0.035,0.006,0.002,0.0
Inter Miami,0.018,0.074,0.007,0.0,0,0
Botafogo,0.001,0.022,0.003,0.0,0,0
Seattle Sounders,0.007,0.07,0.016,0.002,0,0
Los Angeles FC,0.016,0.086,0.012,0.002,0.0,0
River Plate,0.008,0.088,0.01,0.001,0,0
Urawa Red Diamonds,0.031,0.249,0.052,0.008,0.0,0
Ulsan HD,0.04,0.15,0.036,0.006,0.0,0
Al Ain,0.002,0.016,0.001,0,0,0
FC Salzburg,0.052,0.263,0.058,0.018,0.004,0
