Team,GroupWinnerOdds,KnockoutOdds,QuarterfinalOdds,SemifinalOdds,FinalOdds,ChampionOdds
Palmeiras,-170,-720,131,400,999,2074
Porto,459,-121,513,1595,5782,19900
Al Ahly,510,109,594,2122,6567,24900
Inter Miami,3604,953,7043,24900,,
Paris Saint-Germain,-2339,-24900,-252,136,307,658
Atletico Madrid,4067,-506,102,333,777,1718
Botafogo,6150,562,3233,33233,,
Seattle Sounders,99900,5456,14186,49900,,
Bayern Munich,-331,-1787,-161,159,315,630
Benfica,459,-208,214,669,1686,4248
Boca Juniors,1983,292,1329,4067,12400,24900
Auckland City,19900,713,3471,24900,99900,
Flamengo,255,-1011,172,502,1539,3900
Chelsea,-245,-3471,-134,214,443,890
Esperance Sportive de Tunis,24900,2281,9900,33233,99900,
Los Angeles FC,24900,1216,5782,49900,99900,
River Plate,1686,144,1166,9900,49900,
Inter Milan,-770,-4900,-214,179,429,964
Urawa Red Diamonds,1595,-157,663,3900,99900,
Fluminense,403,-153,248,809,2281,7043
Borussia Dortmund,-189,-770,-182,201,580,1166
Ulsan HD,2400,495,2074,19900,,
Mamelodi Sundowns,835,192,675,2226,7043,99900
Manchester City,-238,-1861,-183,156,350,747
Juventus,292,-533,153,367,1120,3233
Wydad AC,3126,533,2930,11011,,
Al Ain,9900,1861,49900,,,
Real Madrid,-289,-1150,-151,152,331,675
FC Salzburg,1182,217,1076,3604,12400,99900
Al Hilal,755,-104,533,1624,4900,49900
CF Pachuca,1513,294,1182,4662,19900,
