player,expected_points
Scottie Scheffler,74.5
Bryson Dechambeau,59.24
Joaquin Niemann,52.37
Collin Morikawa,51.9
Jon Rahm,51.29
Rory Mcilroy,49.11
Tommy Fleetwood,47.96
Ludvig Aberg,46.61
Xander Schauffele,45.57
Corey Conners,43.46
Patrick Cantlay,43.06
Shane Lowry,42.57
Keegan Bradley,42.01
Taylor Pendrith,42.01
Viktor Hovland,41.28
Sepp Straka,41.23
Ben Griffin,41.18
Hideki Matsuyama,41.01
Robert Macintyre,40.82
Jordan Spieth,40.8
Justin Thomas,40.74
Sam Burns,40.68
Maverick Mcnealy,40.29
Daniel Berger,40.2
Russell Henley,40.16
Tyrrell Hatton,39.96
Harris English,39.63
J.J. Spaun,39.32
Si Woo Kim,38.77
Akshay Bhatia,38.64
Tony Finau,38.27
Carlos Ortiz,37.37
Thorbjorn Olesen,37.15
Bud Cauley,37.01
Adam Scott,36.81
Matt Fitzpatrick,36.78
Denny Mccarthy,36.28
Davis Thompson,36.19
Rasmus Hojgaard,36.15
Sungjae Im,35.95
Andrew Novak,35.82
Min Woo Lee,35.44
Aaron Rai,35.24
Sam Stevens,35.22
Cameron Young,35.2
Ryan Fox,34.91
Brooks Koepka,34.84
Matt Wallace,34.84
Max Greyserman,34.6
Ryan Gerard,34.43
Patrick Reed,34.19
Byeong Hun An,34.09
Nick Taylor,34.06
Jason Day,34.05
Rasmus Neergaard-Petersen,33.99
Matt Mccarty,33.73
Wyndham Clark,33.56
Jordan Smith,33.45
Chris Gotterup,33.26
Mackenzie Hughes,33.12
Thomas Detry,33.07
J.T. Poston,33.02
Michael Kim,33.0
Cameron Smith,32.94
Dustin Johnson,32.55
Emiliano Grillo,32.4
Eric Cole,32.39
Johnny Keefer,31.53
Doug Ghim,30.81
Christiaan Bezuidenhout,30.77
Brian Harman,30.72
Tom Hoge,30.4
Jacob Bridgeman,30.35
Victor Perez,30.27
Jackson Koivun,30.15
Mark Hubbard,29.96
Erik Van Rooyen,29.88
Stephan Jaeger,29.85
Tom Kim,29.72
Justin Rose,29.71
Niklas Norgaard,29.1
Marc Leishman,29.04
Davis Riley,28.99
Lucas Glover,27.93
Chris Kirk,27.82
Laurie Canter,27.7
Joe Highsmith,27.58
Jhonattan Vegas,27.57
Nico Echavarria,27.37
Matthew Jordan,27.24
Justin Lower,27.09
Richard Bland,27.08
Cam Davis,27.04
Sam Bairstow,26.77
Gary Woodland,26.39
Takumi Kanaya,26.37
Frederic Lacroix,25.75
Guido Migliozzi,25.51
Brian Campbell,25.46
Ben James,25.43
Phil Mickelson,25.08
Scott Vincent,24.65
Lanto Griffin,24.53
Jacques Kruyswijk,24.51
Jinichiro Kozuma,24.21
Edoardo Molinari,24.13
Thriston Lawrence,24.1
Matthieu Pavon,24.02
Michael La Sasso,23.86
Alistair Docherty,23.7
Emilio Gonzalez,23.67
Andrea Pavan,23.37
Zac Blair,22.8
Alvaro Ortiz,22.6
Adam Schenk,22.33
Trent Phillips,21.23
Chandler Blanchet,21.01
Kevin Velo,21.01
Zach Bauchou,20.92
Trevor Cone,20.9
Joakim Lagergren,20.88
Riki Kawamoto,20.26
Jose Luis Ballester,20.12
Ryan Mccormick,19.8
Yuta Sugiura,19.11
Preston Summerhays,18.79
Will Chandler,18.75
Roberto Diaz,18.33
James Hahn,17.38
Nick Dunlap,16.89
Lance Simpson,16.6
Jackson Buchanan,16.58
James Nicholas,16.57
Justin Hastings,16.54
Tyler Weaver,15.94
Riley Lewis,15.25
Frankie Harris,15.14
Maxwell Moldovan,14.97
Zachery Pollo,14.47
Philip Barbaree,14.45
Austen Truslow,14.33
Cameron Tankersley,14.16
Bryan Lee,13.6
Evan Beck,13.36
Brady Calkins,12.92
Chase Johnson,12.87
Mason Howell,11.79
George Duangmanee,11.77
Noah Kent,11.74
Harrison Ott,11.06
George Kneiser,9.49
Justin Hicks,8.63
Grant Haefner,7.52
Matt Vogt,6.47
Joey Herrera,6.22
Trevor Gutschewski,4.72
