player,expected_points
Patrick Reed,96.27
Rasmus Neergaard-Petersen,92.65
David Puig,89.19
Jordan Smith,87.89
Marco Penge,81.71
Jayden Schaper,80.54
Ewen Ferguson,79.07
Eugenio Chacarra,78.76
Matti Schmid,78.33
Francesco Laporta,77.49
Sergio Garcia,76.73
Adrien Saddier,75.48
Haotong Li,75.18
Martin Couvra,72.97
Joost Luiten,72.71
Keita Nakajima,72.6
Kristoffer Reitan,72.42
Marcel Schneider,72.26
Laurie Canter,71.57
Angel Ayora,70.51
Nicolai Von Dellingshausen,70.32
John Parry,69.37
Alex Fitzpatrick,68.16
Brandon Stone,67.42
Jorge Campillo,66.49
Daniel Hillier,66.45
Richard Mansell,65.62
Fabrizio Zanotti,65.31
Calum Hill,65.01
Frederic Lacroix,64.74
Edoardo Molinari,64.27
Andy Sullivan,64.26
Oliver Lindell,64.21
Sean Crocker,64.12
Matthew Jordan,63.57
Julien Guerrier,62.85
Jacques Kruyswijk,62.42
Shaun Norris,62.02
Sam Bairstow,61.64
Johannes Veerman,60.8
Maximilian Kieffer,59.94
Romain Langasque,59.93
Dan Bradbury,59.9
Todd Clements,59.89
Jacob Skov Olesen,59.66
Wenyi Ding,59.3
Brandon Robinson-Thompson,58.59
Kiradech Aphibarnrat,58.23
Bernd Wiesberger,57.57
Connor Syme,57.48
Yannik Paul,57.26
Andrea Pavan,56.84
Wilco Nienaber,56.52
Jens Dantorp,56.46
Marcus Armitage,55.89
Darius Van Driel,54.98
Ivan Cantero Gutierrez,54.27
Ugo Coussaud,53.48
Marcel Siem,53.48
Alejandro Del Rey,53.44
David Ravetto,53.25
Niklas Lemke,53.21
Jeff Winther,53.19
Aaron Cockerill,53.17
Ricardo Gouveia,53.15
Yuto Katsuragawa,53.1
Nathan Kimsey,53.02
Daniel Brown,52.99
Manuel Elvira,52.48
Ignacio Elvira Mijares,51.78
Martin Kaymer,51.76
Kazuma Kobori,51.73
Tom Vaillant,51.6
Freddy Schott,51.54
Grant Forrest,51.28
Gavin Green,50.88
Richie Ramsay,50.83
Jason Scrivener,50.63
Pablo Larrazabal,50.53
Andreas Halvorsen,50.49
Guido Migliozzi,50.38
Wesley Bryan,49.62
Scott Jamieson,49.56
Angel Hidalgo,49.52
Joe Dean,49.05
Clement Sordet,48.49
Joakim Lagergren,48.41
Rafa Cabrera Bello,48.34
Matthew Southgate,47.45
Andrew Wilson,47.45
Taiga Semikawa,47.22
Robin Williams,47.18
Adrian Otaegui,47.05
Jack Senior,46.75
Davis Bryant,46.18
Conor Purcell,46.15
Ben Schmidt,45.84
Casey Jarvis,45.75
Minkyu Kim,45.73
Jose Luis Ballester,45.64
Darren Fichardt,45.33
Elvis Smylie,45.13
Simon Forsstrom,45.02
Benjamin Hebert,44.9
Hamish Brown,44.09
David Micheluzzi,43.66
Tapio Pulkkanen,43.59
Nicolas Colsaerts,43.47
Troy Merritt,43.29
Jannik De Bruyn,43.04
Ashun Wu,43.02
Joel Girrbach,43.0
Gregorio De Leo,41.89
Mikael Lindberg,41.83
David Horsey,41.51
Jordan Gumberg,41.37
Brandon Wu,41.33
Zander Lombard,40.99
Alexander Levy,40.75
Lucas Bjerregaard,40.08
Dale Whitnell,38.92
Jacopo Vecchi Fossa,38.76
Ryggs Johnston,38.53
Richard Sterne,38.53
Kevin Chappell,37.91
Thomas Aiken,37.76
Veer Ahlawat,37.72
Daniel Gale,37.72
Dylan Naidoo,37.01
Alfredo Garcia-Heredia,36.77
Hurly Long,36.76
Ross Fisher,36.75
Matthew Baldwin,36.66
Ryan Van Velzen,36.51
Dan Erickson,36.29
Deon Germishuys,36.14
Tadeáš Tetak,36.03
Shubhankar Sharma,35.6
Zihao Jin,35.25
Tiger Christensen,35.22
Jeong Weon Ko,35.06
Wolfgang Glawe,34.93
Alexander George Frances,33.63
Joel Moscatel,33.54
Bjorn Akesson,33.49
Corey Shaun,33.07
Matthias Schwab,32.86
Luke Donald,32.79
Pierre Pineau,32.23
Tim Wiedemeyer,32.06
Michael Hirmer,29.6
Ockie Strydom,28.96
George Bryan,26.29
Nicolas Horder,24.12
Martin Trainer,22.75
Erik Barnes,20.4
