player,expected_points
Collin Morikawa,91.36
Patrick Cantlay,83.67
Ben Griffin,82.1
Hideki Matsuyama,79.44
Keegan Bradley,79.22
Si Woo Kim,76.14
Davis Thompson,76.07
Harry Hall,75.28
Max Greyserman,72.98
Matt Fitzpatrick,72.42
Rickie Fowler,71.64
Byeong Hun An,71.59
Chris Gotterup,71.41
Alex Noren,70.92
Ryan Gerard,70.9
Akshay Bhatia,69.94
Ryo Hisatsune,69.46
Cameron Young,69.41
Rasmus Hojgaard,68.84
Chris Kirk,68.83
Michael Kim,68.05
Tom Kim,67.95
Wyndham Clark,67.76
Stephan Jaeger,67.71
Kurt Kitayama,67.59
Emiliano Grillo,66.23
Matt Wallace,66.15
Victor Perez,66.01
Keith Mitchell,65.98
Austin Eckroat,65.94
Min Woo Lee,65.86
Alex Smalley,65.67
Jesper Svensson,65.59
Luke Clanton,65.42
Mark Hubbard,65.39
Jacob Bridgeman,64.54
Rico Hoey,64.51
Thorbjorn Olesen,64.5
Doug Ghim,64.43
Erik Van Rooyen,64.31
Gary Woodland,64.09
Vince Whaley,64.0
Matt Mccarty,63.66
Lee Hodges,63.53
Max Mcgreevy,63.2
Andrew Putnam,61.97
Joe Highsmith,61.81
Taylor Moore,61.74
Michael Thorbjornsen,61.46
Nicolai Hojgaard,61.12
Patrick Fishburn,60.99
Ricky Castillo,60.09
Quade Cummins,59.21
Steven Fisk,59.21
Jake Knapp,59.08
Patrick Rodgers,58.28
Antoine Rozner,58.07
Max Homa,58.01
Henrik Norlander,57.96
Sam Ryder,57.83
Joel Dahmen,57.62
Takumi Kanaya,57.28
Adam Hadwin,57.03
Trey Mullinax,56.89
Isaiah Salinda,56.89
Carson Young,56.82
Nico Echavarria,56.72
Kevin Roy,56.34
Adam Svensson,56.16
Matt Kuchar,55.85
Beau Hossler,55.64
Thriston Lawrence,55.44
Greyson Sigg,55.0
Jeremy Paul,54.81
Thomas Rosenmueller,54.73
Webb Simpson,54.67
Seamus Power,54.45
Karl Vilips,54.34
Danny Walker,54.27
Chan Kim,54.14
Cam Davis,54.08
Chad Ramey,54.03
Nate Lashley,53.93
Aldrich Potgieter,53.88
Garrick Higgo,53.84
Brice Garnett,53.83
Mac Meissner,53.77
Kris Ventura,53.57
Chandler Phillips,53.55
Noah Goodwin,53.53
Lanto Griffin,53.34
Alejandro Tosti,53.23
Sami Valimaki,53.23
Davis Riley,53.21
Michael La Sasso,52.87
Adam Schenk,52.76
Luke List,52.65
Ben Kohles,52.64
Zach Johnson,52.55
Hayden Springer,52.43
Ben Silverman,52.39
Cameron Champ,52.11
Nick Hardy,51.97
Justin Lower,51.74
Danny Willett,51.29
David Ford,51.2
Rikuya Hoshino,51.18
Hayden Buckley,50.95
Ben Martin,50.8
William Mouw,50.66
David Skinns,50.35
Trevor Cone,50.34
Will Gordon,50.23
Harry Higgs,50.1
John Pak,49.49
Brandt Snedeker,48.82
Francesco Molinari,48.36
Patton Kizzire,48.35
Kevin Velo,48.01
Jackson Suber,47.67
David Lipsky,45.33
Norman Xiong,45.04
Taylor Dickson,44.98
Paul Peterson,44.62
Paul Waring,44.46
Rafael Campos,43.82
Anders Albertson,43.62
Kaito Onishi,43.48
Nick Dunlap,42.71
Cristobal Del Solar,41.92
Braden Thornberry,41.81
Peter Malnati,41.51
Philip Knowles,41.41
Mason Andersen,40.98
Frankie Capan Iii,40.92
Harrison Endycott,40.78
Camilo Villegas,40.65
Will Chandler,40.53
Aaron Wise,40.4
Ashton Mcculloch,40.09
Brett White,39.88
Kevin Kisner,39.68
Matthew Riedel,39.65
Aaron Baddeley,37.38
Ryan Brehm,35.18
Ryan Palmer,34.04
James Piot,34.04
Andi Xu,33.36
Gordon Sargent,30.05
Evan Brown,29.83
Dominic Clemons,29.35
Vince Covello,29.03
Ben Cook,25.4
Joe Hooks,24.0
Otto Black,20.84
