player,expected_points
Scottie Scheffler,87.43
Tommy Fleetwood,73.5
Rory Mcilroy,70.48
Robert Macintyre,69.25
Xander Schauffele,65.43
Collin Morikawa,64.41
Matt Fitzpatrick,63.17
Viktor Hovland,62.93
Justin Thomas,62.46
Ludvig Aberg,62.02
Adam Scott,61.46
Ryan Fox,60.65
Rasmus Hojgaard,59.73
Matt Wallace,59.47
Corey Conners,59.41
Chris Gotterup,59.37
Sam Burns,58.63
Aaron Rai,58.58
Harry Hall,58.56
Harris English,58.55
Si Woo Kim,58.4
Rasmus Neergaard-Petersen,58.33
Marco Penge,57.14
J.J. Spaun,57.1
Maverick Mcnealy,57.04
Jesper Svensson,56.64
Max Greyserman,56.53
Thorbjorn Olesen,55.89
Jordan Smith,55.89
Thomas Detry,55.86
Kevin Yu,55.82
Taylor Pendrith,55.79
Byeong Hun An,55.69
Sam Stevens,55.53
Victor Perez,54.95
Nicolai Hojgaard,54.73
Sepp Straka,54.63
Denny Mccarthy,54.15
Nick Taylor,54.02
Andrew Novak,53.55
Christiaan Bezuidenhout,53.54
Alex Noren,53.32
Haotong Li,53.12
Bud Cauley,53.05
Daniel Berger,53.03
Matthew Jordan,52.76
Ryan Gerard,52.55
Jake Knapp,51.87
Michael Kim,51.84
Sungjae Im,51.58
Thriston Lawrence,51.28
Alex Smalley,51.28
Taylor Moore,51.21
Niklas Norgaard,51.14
Jacob Bridgeman,50.72
Kristoffer Reitan,50.65
Laurie Canter,50.49
Aldrich Potgieter,50.28
Brian Harman,50.02
Wyndham Clark,49.93
Matti Schmid,49.75
Luke Clanton,49.5
Ewen Ferguson,49.34
Tom Kim,49.14
Jhonattan Vegas,48.94
Sami Valimaki,48.93
Keith Mitchell,48.58
Francesco Laporta,48.35
Erik Van Rooyen,47.94
Brandon Stone,47.86
Richard Mansell,47.68
Antoine Rozner,47.41
Matt Mccarty,47.26
Tom Hoge,47.21
Daniel Brown,47.2
Mackenzie Hughes,47.18
Patrick Rodgers,46.94
Ryo Hisatsune,46.78
Matteo Manassero,46.63
Alex Fitzpatrick,46.01
Martin Couvra,45.83
Lee Hodges,45.8
Sam Bairstow,45.54
Andrew Putnam,45.52
John Parry,45.46
Grant Forrest,45.45
Max Mcgreevy,45.11
Alejandro Tosti,45.11
Adrien Saddier,45.08
Isaiah Salinda,45.04
Daniel Hillier,44.94
Marcel Schneider,44.92
Jacques Kruyswijk,44.78
Gary Woodland,44.67
Nico Echavarria,44.4
Calum Hill,44.37
Keita Nakajima,43.6
Joe Highsmith,43.54
Rikuya Hoshino,43.49
Frederic Lacroix,43.45
Andy Sullivan,43.32
Connor Syme,43.2
Henrik Norlander,43.18
Todd Clements,43.15
Davis Riley,43.06
Eugenio Chacarra,42.9
Johannes Veerman,42.73
Julien Guerrier,42.68
Jorge Campillo,42.63
Sebastian Soderberg,42.34
Shaun Norris,42.11
Richie Ramsay,41.99
Nicolai Von Dellingshausen,41.95
Alejandro Del Rey,41.73
Karl Vilips,41.68
Romain Langasque,41.54
Sean Crocker,41.28
Matthieu Pavon,41.26
Dan Bradbury,41.14
Danny Walker,41.11
Ugo Coussaud,40.87
David Ravetto,40.84
Yuto Katsuragawa,40.74
Joel Dahmen,40.7
Brian Campbell,40.3
Danny Willett,40.14
Justin Rose,40.12
Aaron Cockerill,39.82
Padraig Harrington,39.77
Ignacio Elvira Mijares,39.75
Joe Dean,38.85
Yannik Paul,38.68
Ashun Wu,38.6
Francesco Molinari,38.11
Brandt Snedeker,38.09
Marcel Siem,38.08
Elvis Smylie,37.99
Dylan Frittelli,37.96
David Ford,37.71
Paul Waring,37.57
Guido Migliozzi,37.2
Darius Van Driel,37.2
Adrian Otaegui,37.03
Bernd Wiesberger,36.35
Angel Hidalgo,35.95
Simon Forsstrom,35.4
Dylan Naidoo,34.77
Ryggs Johnston,34.1
Pablo Larrazabal,33.45
Junghwan Lee,33.24
Dale Whitnell,32.85
Wooyoung Cho,32.48
Jordan Gumberg,32.14
Luke Donald,31.38
Hongtaek Kim,30.21
Ockie Strydom,27.05
