player,expected_points
Scottie Scheffler,78.52
Jon Rahm,70.06
Rory Mcilroy,69.71
Tommy Fleetwood,64.73
Bryson Dechambeau,63.85
Xander Schauffele,61.71
Tyrrell Hatton,59.09
Viktor Hovland,58.68
Ludvig Aberg,58.59
Collin Morikawa,57.78
Robert Macintyre,57.06
Matt Fitzpatrick,56.87
Justin Thomas,55.52
Joaquin Niemann,55.26
Shane Lowry,55.18
Patrick Cantlay,54.72
Corey Conners,54.37
Sepp Straka,54.04
Aaron Rai,53.78
Russell Henley,53.7
Sam Burns,53.47
Ben Griffin,53.38
Maverick Mcnealy,53.24
Adam Scott,53.18
Harry Hall,52.86
Harris English,52.17
Jordan Spieth,51.75
Taylor Pendrith,51.4
Patrick Reed,51.32
Si Woo Kim,51.25
Chris Gotterup,51.15
J.J. Spaun,50.91
Keegan Bradley,50.85
Nicolai Hojgaard,50.42
Nick Taylor,49.75
Ryan Fox,49.72
Daniel Berger,49.66
Marco Penge,49.63
Jason Day,49.62
Tom Mckibbin,49.36
Jordan Smith,48.63
Hideki Matsuyama,48.16
Wyndham Clark,47.5
Matt Wallace,47.46
Andrew Novak,47.11
Christiaan Bezuidenhout,46.85
Tom Kim,46.79
Min Woo Lee,46.79
Kevin Yu,46.69
Justin Rose,46.65
Max Greyserman,46.47
Davis Thompson,46.0
Thorbjorn Olesen,45.88
Laurie Canter,45.7
Rasmus Hojgaard,45.62
Sungjae Im,45.62
Denny Mccarthy,45.42
Cameron Young,45.28
Michael Kim,45.25
Brian Harman,45.21
J.T. Poston,45.15
Thomas Detry,45.06
Akshay Bhatia,44.51
Cameron Smith,44.25
Rickie Fowler,44.22
Carlos Ortiz,44.15
Brooks Koepka,44.06
Byeong Hun An,43.93
Bud Cauley,43.84
Lucas Herbert,43.67
Jesper Svensson,43.67
Matti Schmid,43.56
Lucas Glover,43.54
Louis Oosthuizen,43.24
Matt Mccarty,43.07
Kristoffer Reitan,42.95
Dean Burmester,42.66
Niklas Norgaard,42.65
Tony Finau,42.51
Thriston Lawrence,42.02
Mackenzie Hughes,41.93
Jhonattan Vegas,41.77
Nico Echavarria,41.63
Dustin Johnson,41.54
Sergio Garcia,41.26
Tom Hoge,41.09
Antoine Rozner,41.09
Daniel Brown,41.08
Aldrich Potgieter,40.39
Matthew Jordan,40.02
John Parry,39.41
Chris Kirk,39.38
Haotong Li,39.11
Martin Couvra,37.94
Stephan Jaeger,37.79
Marc Leishman,37.53
Sahith Theegala,37.48
Adrien Saddier,37.38
Takumi Kanaya,36.29
Matteo Manassero,36.04
Sebastian Soderberg,35.76
Daniel Hillier,35.05
Nathan Kimsey,34.98
Matthieu Pavon,34.93
Jason Kokrak,34.91
Zach Johnson,34.7
Rikuya Hoshino,34.62
Brian Campbell,34.51
Julien Guerrier,34.48
Romain Langasque,34.23
John Catlin,34.06
Stewart Cink,33.95
Francesco Molinari,33.77
Oliver Lindell,33.65
Padraig Harrington,33.6
Davis Riley,33.56
Jacob Skov Olesen,33.34
Elvis Smylie,33.29
Shaun Norris,32.78
Henrik Stenson,32.4
Phil Mickelson,32.04
Sadom Kaewkanjana,31.93
Lee Westwood,30.51
Daniel Van Tonder,30.22
Guido Migliozzi,28.5
Angel Hidalgo Portillo,28.44
Younghan Song,28.3
Daniel Young,28.27
Justin Suh,28.0
Filip Jakubcik,27.39
Riki Kawamoto,27.29
Ethan Fang,27.16
Curtis Luck,27.01
Shugo Imahira,26.75
Dylan Naidoo,26.03
Darren Fichardt,25.95
Sampson Zheng,25.75
Ryggs Johnston,25.62
Darren Clarke,25.21
Justin Hastings,25.09
Connor Graham,24.09
John Axelsen,23.75
Cameron Adam,23.66
Mikiya Akutsu,23.23
George Bloor,22.84
Justin Walters,21.33
Justin Leonard,21.29
K.J. Choi,20.62
Ryan Peake,20.41
Jesper Sandborg,19.79
Seb Cave,19.0
Richard Teder,16.38
Oj Farrell,16.0
Frazer Jones,15.05
Curtis Knipes,14.31
Bryan Newman,12.15
