market,player,book,odds,ev,kelly_fraction,kelly_bet
win,"Kobori, Kazuma",bovada,+10000,1.0959,0.011,1095.87
win,"Kobori, Kazuma",fanduel,+9000,0.8884,0.0099,987.07
win,"Meissner, Mac",bovada,+9000,0.835,0.0093,927.83
win,"Kobori, Kazuma",caesars,+8500,0.7846,0.0092,923.06
win,"Kobori, Kazuma",betcris,+8420,0.768,0.0091,912.12
win,"Kobori, Kazuma",bet365,+8000,0.6808,0.0085,851.06
win,"Kobori, Kazuma",draftkings,+8000,0.6808,0.0085,851.06
win,"Kobori, Kazuma",betway,+8000,0.6808,0.0085,851.06
win,"Kobori, Kazuma",unibet,+8000,0.6808,0.0085,851.06
win,"Meissner, Mac",bet365,+8000,0.6334,0.0079,791.74
win,"Meissner, Mac",betonline,+8000,0.6334,0.0079,791.74
win,"Meissner, Mac",unibet,+8000,0.6334,0.0079,791.74
win,"Meissner, Mac",betmgm,+8000,0.6334,0.0079,791.74
win,"Meissner, Mac",fanduel,+7500,0.5326,0.0071,710.09
win,"Meissner, Mac",caesars,+7500,0.5326,0.0071,710.09
win,"Kobori, Kazuma",pinnacle,+7144,0.5032,0.007,704.39
win,"Kobori, Kazuma",betmgm,+7000,0.4733,0.0068,676.19
win,"Meissner, Mac",pinnacle,+7169,0.4658,0.0065,649.77
top_10,"Kobori, Kazuma",bet365,+750,0.4456,0.0594,5941.04
top_10,"Kobori, Kazuma",fanduel,+750,0.4456,0.0594,5941.04
top_10,"Kobori, Kazuma",draftkings,+750,0.4456,0.0594,5941.04
top_10,"Kobori, Kazuma",caesars,+750,0.4456,0.0594,5941.04
top_10,"Kobori, Kazuma",betway,+750,0.4456,0.0594,5941.04
top_10,"Kobori, Kazuma",unibet,+750,0.4456,0.0594,5941.04
win,"Kobori, Kazuma",betonline,+6600,0.3903,0.0059,591.41
top_10,"Kobori, Kazuma",betonline,+700,0.3605,0.0515,5150.63
win,"Svensson, Adam",betonline,+8000,0.3541,0.0044,442.58
win,"Meissner, Mac",betway,+6600,0.3511,0.0053,531.94
top_10,"Meissner, Mac",bet365,+700,0.3378,0.0483,4825.61
top_10,"Meissner, Mac",betway,+700,0.3378,0.0483,4825.61
top_10,"Meissner, Mac",betonline,+700,0.3378,0.0483,4825.61
win,"Meissner, Mac",draftkings,+6500,0.3309,0.0051,509.1
top_20,"Kobori, Kazuma",unibet,+335,0.3024,0.0903,9026.72
win,"Wu, Dylan",betcris,+12310,0.2969,0.0024,241.18
top_20,"Kobori, Kazuma",bet365,+333,0.2964,0.089,8901.12
top_20,"Kobori, Kazuma",betway,+333,0.2964,0.089,8901.12
top_20,"Kobori, Kazuma",fanduel,+330,0.2874,0.0871,8709.85
top_20,"Kobori, Kazuma",draftkings,+330,0.2874,0.0871,8709.85
top_20,"Kobori, Kazuma",caesars,+330,0.2874,0.0871,8709.85
win,"Koivun, Jackson",fanduel,+2200,0.2806,0.0128,1275.56
win,"Koivun, Jackson",draftkings,+2200,0.2806,0.0128,1275.56
win,"Koivun, Jackson",unibet,+2200,0.2806,0.0128,1275.56
win,"Thorbjornsen, Michael",fanduel,+1600,0.2763,0.0173,1726.73
win,"Thorbjornsen, Michael",draftkings,+1600,0.2763,0.0173,1726.73
top_10,"Kobori, Kazuma",bovada,+650,0.2755,0.0424,4238.62
top_10,"Kobori, Kazuma",betmgm,+650,0.2755,0.0424,4238.62
miss_cut,"Higgs, Harry",bet365,+138,0.2626,0.1903,19031.09
win,"Ayora, Angel",pinnacle,+6939,0.2612,0.0038,376.49
top_20,"Kobori, Kazuma",betmgm,+320,0.2575,0.0805,8046.41
top_10,"Meissner, Mac",fanduel,+650,0.2542,0.0391,3910.47
top_10,"Meissner, Mac",draftkings,+650,0.2542,0.0391,3910.47
top_10,"Meissner, Mac",caesars,+650,0.2542,0.0391,3910.47
top_10,"Meissner, Mac",unibet,+650,0.2542,0.0391,3910.47
top_10,"Meissner, Mac",betmgm,+650,0.2542,0.0391,3910.47
win,"Koivun, Jackson",betcris,+2149,0.2522,0.0117,1173.7
top_20,"Meissner, Mac",bet365,+320,0.2463,0.077,7696.59
top_10,"Koivun, Jackson",unibet,+300,0.2308,0.0769,7692.31
win,"Svensson, Adam",pinnacle,+7254,0.2294,0.0032,316.18
top_20,"Kobori, Kazuma",betonline,+300,0.1976,0.0659,6586.83
top_20,"Meissner, Mac",betway,+300,0.1869,0.0623,6231.45
top_20,"Meissner, Mac",betmgm,+300,0.1869,0.0623,6231.45
win,"Svensson, Adam",fanduel,+7000,0.1869,0.0027,266.99
win,"Svensson, Adam",bovada,+7000,0.1869,0.0027,266.99
win,"Meissner, Mac",betcris,+5779,0.1855,0.0032,321.03
top_5,"Bryant, Davis",bet365,+3300,0.1826,0.0055,553.36
win,"Ayora, Angel",bovada,+6500,0.1826,0.0028,280.9
top_10,"Meissner, Mac",bovada,+600,0.1706,0.0284,2842.81
win,"Koivun, Jackson",betmgm,+2000,0.1693,0.0085,846.33
top_10,"Svensson, Adam",bet365,+700,0.1679,0.024,2398.33
top_20,"Kobori, Kazuma",bovada,+290,0.1677,0.0578,5781.54
win,"Garnett, Brice",betcris,+11909,0.1668,0.0014,140.09
win,"Fisk, Steven",bet365,+6600,0.1624,0.0025,246.04
top_10,"Fisk, Steven",bet365,+650,0.161,0.0248,2476.78
top_10,"Thorbjornsen, Michael",fanduel,+220,0.1594,0.0725,7246.38
top_10,"Thorbjornsen, Michael",draftkings,+220,0.1594,0.0725,7246.38
top_10,"Thorbjornsen, Michael",caesars,+220,0.1594,0.0725,7246.38
win,"Thorbjornsen, Michael",pinnacle,+1437,0.1539,0.0107,1071.01
miss_cut,"Power, Seamus",betmgm,+200,0.1494,0.0747,7471.26
top_5,"Dickson, Taylor",bet365,+6000,0.1477,0.0025,246.16
top_5,"Dickson, Taylor",bovada,+6000,0.1477,0.0025,246.16
top_10,"Schwab, Matthias",bet365,+17000,0.1461,0.0009,85.95
win,"Fisk, Steven",bovada,+6500,0.145,0.0022,223.14
win,"Fisk, Steven",betonline,+6500,0.145,0.0022,223.14
win,"Robinson-Thompson, Brandon",pinnacle,+12665,0.1297,0.001,102.44
top_5,"Blair, Zac",bet365,+3300,0.1288,0.0039,390.36
top_20,"Meissner, Mac",fanduel,+280,0.1276,0.0456,4557.02
top_20,"Meissner, Mac",draftkings,+280,0.1276,0.0456,4557.02
top_20,"Meissner, Mac",caesars,+280,0.1276,0.0456,4557.02
win,"Koivun, Jackson",pinnacle,+1924,0.1269,0.0066,659.82
win,"Thorbjornsen, Michael",caesars,+1400,0.1261,0.009,900.9
win,"Thorbjornsen, Michael",bovada,+1400,0.1261,0.009,900.9
win,"Thorbjornsen, Michael",unibet,+1400,0.1261,0.009,900.9
win,"Thorbjornsen, Michael",betmgm,+1400,0.1261,0.009,900.9
win,"Svensson, Adam",bet365,+6600,0.12,0.0018,181.86
win,"Svensson, Adam",betmgm,+6600,0.12,0.0018,181.86
top_5,"Lipsky, David",betonline,+2500,0.1168,0.0047,467.35
miss_cut,"Roy, Kevin",betmgm,+300,0.1142,0.0381,3806.87
top_10,"Dickson, Taylor",bet365,+2500,0.114,0.0046,455.87
top_10,"Dickson, Taylor",bovada,+2500,0.114,0.0046,455.87
top_20,"Meissner, Mac",betonline,+275,0.1128,0.041,4100.35
top_20,"Meissner, Mac",unibet,+275,0.1128,0.041,4100.35
top_10,"Koivun, Jackson",fanduel,+260,0.1077,0.0414,4142.01
top_10,"Koivun, Jackson",draftkings,+260,0.1077,0.0414,4142.01
miss_cut,"Power, Seamus",unibet,+188,0.1034,0.055,5502.57
top_10,"Bryant, Davis",bet365,+1400,0.1013,0.0072,723.73
top_20,"Meissner, Mac",bovada,+270,0.0979,0.0363,3626.77
top_20,"Dickson, Taylor",bovada,+1000,0.0978,0.0098,978.04
miss_cut,"Champ, Cameron",bet365,+225,0.0943,0.0419,4190.05
win,"Ayora, Angel",bet365,+6000,0.093,0.0015,154.99
win,"Ayora, Angel",betonline,+6000,0.093,0.0015,154.99
win,"Ayora, Angel",betmgm,+6000,0.093,0.0015,154.99
win,"Thorbjornsen, Michael",betcris,+1355,0.0923,0.0068,681.49
make_cut,"Kobori, Kazuma",caesars,-164,0.0905,0.1484,14838.71
top_20,"Svensson, Adam",bet365,+300,0.0899,0.03,2997.28
make_cut,"Kobori, Kazuma",draftkings,-165,0.088,0.1452,14516.13
top_10,"Pak, John",bet365,+1400,0.0877,0.0063,626.75
top_10,"Thorbjornsen, Michael",betonline,+200,0.087,0.0435,4347.83
top_10,"Thorbjornsen, Michael",unibet,+200,0.087,0.0435,4347.83
win,"Fisk, Steven",pinnacle,+6164,0.0867,0.0014,140.73
top_10,"Koivun, Jackson",caesars,+250,0.0769,0.0308,3076.92
top_10,"Koivun, Jackson",betway,+250,0.0769,0.0308,3076.92
top_10,"Koivun, Jackson",betonline,+250,0.0769,0.0308,3076.92
make_cut,"Meissner, Mac",draftkings,-175,0.0741,0.1297,12974.68
make_cut,"Meissner, Mac",caesars,-175,0.0741,0.1297,12974.68
top_20,"Thorbjornsen, Michael",fanduel,+105,0.0738,0.0703,7029.48
top_20,"Thorbjornsen, Michael",draftkings,+105,0.0738,0.0703,7029.48
top_20,"Thorbjornsen, Michael",caesars,+105,0.0738,0.0703,7029.48
top_20,"Thorbjornsen, Michael",unibet,+105,0.0738,0.0703,7029.48
miss_cut,"Power, Seamus",betonline,+180,0.0728,0.0404,4044.27
top_10,"Ayora, Angel",bet365,+600,0.072,0.012,1199.59
win,"Wu, Dylan",pinnacle,+10155,0.0717,0.0007,70.6
top_20,"Koivun, Jackson",fanduel,+130,0.0698,0.0537,5366.73
top_20,"Koivun, Jackson",draftkings,+130,0.0698,0.0537,5366.73
top_20,"Fisk, Steven",bet365,+280,0.0674,0.0241,2407.7
win,"Svensson, Adam",betcris,+6283,0.067,0.0011,106.69
win,"Garnett, Brice",pinnacle,+10841,0.0631,0.0006,58.17
top_10,"Blair, Zac",bet365,+1400,0.0608,0.0043,434.43
win,"Sigg, Greyson",bovada,+9000,0.0601,0.0007,66.79
win,"Koivun, Jackson",caesars,+1800,0.0579,0.0032,321.7
win,"Koivun, Jackson",bovada,+1800,0.0579,0.0032,321.7
win,"Koivun, Jackson",betonline,+1800,0.0579,0.0032,321.7
win,"Hossler, Beau",betonline,+4000,0.0572,0.0014,143.12
make_cut,"Wu, Dylan",caesars,-149,0.0568,0.0846,8455.88
make_cut,"Fisk, Steven",bet365,-175,0.0562,0.0984,9836.07
win,"Wu, Dylan",betonline,+10000,0.0555,0.0006,55.49
win,"Kim, Chan",bovada,+6000,0.0543,0.0009,90.45
make_cut,"Wu, Dylan",draftkings,-150,0.0539,0.0809,8088.24
miss_cut,"Power, Seamus",bet365,+175,0.0536,0.0307,3065.13
win,"Ding, Wenyi",fanduel,+10000,0.0521,0.0005,52.08
win,"Ding, Wenyi",caesars,+10000,0.0521,0.0005,52.08
win,"Ding, Wenyi",bovada,+10000,0.0521,0.0005,52.08
win,"Dickson, Taylor",bovada,+40000,0.0493,0.0001,12.32
top_20,"Sigg, Greyson",unibet,+335,0.0482,0.0144,1438.59
miss_cut,"Kim, S.H.",bet365,+163,0.0478,0.0293,2933.05
