market,player,book,odds,ev,kelly_fraction,kelly_bet
win,"Horsfield, Sam",draftkings,+20000,0.9799,0.0049,489.95
top_5,"Horsfield, Sam",draftkings,+2500,0.7651,0.0306,3060.42
win,"Horsfield, Sam",bet365,+16000,0.5859,0.0037,366.18
top_5,"Horsfield, Sam",bet365,+2200,0.5614,0.0255,2552.0
top_5,"Stenson, Henrik",draftkings,+3500,0.4944,0.0141,1412.56
win,"Horsfield, Sam",betway,+15000,0.4874,0.0032,324.93
win,"Horsfield, Sam",bovada,+15000,0.4874,0.0032,324.93
win,"Horsfield, Sam",betonline,+15000,0.4874,0.0032,324.93
win,"Horsfield, Sam",unibet,+15000,0.4874,0.0032,324.93
win,"Grace, Branden",bet365,+20000,0.4707,0.0024,235.35
win,"Grace, Branden",draftkings,+20000,0.4707,0.0024,235.35
top_5,"Grace, Branden",bet365,+2600,0.4462,0.0172,1716.04
top_10,"Horsfield, Sam",draftkings,+800,0.4446,0.0556,5557.78
top_10,"Stenson, Henrik",draftkings,+1200,0.4349,0.0362,3623.99
top_5,"Horsfield, Sam",caesars,+2000,0.4257,0.0213,2128.31
top_5,"Horsfield, Sam",betway,+2000,0.4257,0.0213,2128.31
top_5,"Steele, Brendan",bet365,+2000,0.4,0.02,2000.0
top_5,"Grace, Branden",draftkings,+2500,0.3926,0.0157,1570.43
top_10,"Horsfield, Sam",betonline,+750,0.3644,0.0486,4858.21
win,"Steele, Brendan",bovada,+15000,0.3364,0.0022,224.27
top_5,"Kaymer, Martin",draftkings,+2500,0.3354,0.0134,1341.55
win,"Stenson, Henrik",draftkings,+30000,0.3345,0.0011,111.49
win,"Stenson, Henrik",betway,+30000,0.3345,0.0011,111.49
top_10,"Stenson, Henrik",betway,+1100,0.3245,0.0295,2950.03
top_10,"Horsfield, Sam",bet365,+725,0.3242,0.0447,4472.24
win,"Kaymer, Martin",draftkings,+20000,0.3032,0.0015,151.58
win,"Horsfield, Sam",fanduel,+13000,0.2904,0.0022,223.37
top_5,"Horsfield, Sam",bovada,+1800,0.2899,0.0161,1610.47
top_5,"Horsfield, Sam",betonline,+1800,0.2899,0.0161,1610.47
top_10,"Steele, Brendan",betonline,+700,0.2862,0.0409,4088.19
top_10,"Horsfield, Sam",caesars,+700,0.2841,0.0406,4058.7
top_10,"Horsfield, Sam",betway,+700,0.2841,0.0406,4058.7
top_5,"Steele, Brendan",caesars,+1800,0.2667,0.0148,1481.48
top_5,"Steele, Brendan",betway,+1800,0.2667,0.0148,1481.48
win,"Horsfield, Sam",pinnacle,+12733,0.2641,0.0021,207.4
top_10,"Grace, Branden",bet365,+825,0.2534,0.0307,3071.36
win,"Steele, Brendan",bet365,+14000,0.2479,0.0018,177.07
top_10,"Steele, Brendan",bet365,+675,0.246,0.0364,3644.16
win,"Horsfield, Sam",caesars,+12500,0.2411,0.0019,192.91
