market,player,book,odds,ev
top_5,"Stenson, Henrik",bet365,+5500,0.9002
win,"Kozuma, Jinichiro",bovada,+20000,0.5209
top_10,"Stenson, Henrik",bet365,+1500,0.5009
win,"Stenson, Henrik",bet365,+40000,0.457
top_5,"Kozuma, Jinichiro",bet365,+2200,0.4277
win,"Howell III, Charles",betcris,+10088,0.2955
top_20,"Stenson, Henrik",betway,+400,0.292
win,"Herbert, Lucas",bovada,+3500,0.2618
top_5,"Na, Kevin",bet365,+2800,0.2511
top_10,"Kozuma, Jinichiro",bet365,+725,0.2332
top_5,"Steele, Brendan",betway,+1600,0.2186
top_5,"Howell III, Charles",bet365,+1300,0.2121
win,"Steele, Brendan",bovada,+12500,0.1844
top_10,"Steele, Brendan",betway,+550,0.0924
top_10,"Na, Kevin",bet365,+875,0.0821
win,"Varner III, Harold",betcris,+8082,0.0718
top_5,"Horsfield, Sam",bet365,+2000,0.0709
