market,player,book,odds,ev
win,"Laporta, Francesco",unibet,+5000,0.326
top_5,"Laporta, Francesco",bet365,+1100,0.284
top_5,"Stone, Brandon",bet365,+1100,0.224
top_10,"Laporta, Francesco",bet365,+550,0.222
top_5,"Whitnell, Dale",bet365,+15000,0.208
win,"Winther, Jeff",pinnacle,+14801,0.1921
top_10,"Stone, Brandon",bet365,+550,0.1765
top_5,"Amat, Bastien",bet365,+27500,0.104
top_20,"Laporta, Francesco",bet365,+240,0.1016
win,"Ding, Wenyi",betmgm,+6000,0.098
win,"Kieffer, Maximilian",betcris,+15568,0.0968
top_5,"Ding, Wenyi",bet365,+1200,0.092
top_10,"Ding, Wenyi",bet365,+600,0.092
top_5,"Schaper, Jayden",bet365,+1000,0.089
top_20,"Scrivener, Jason",unibet,+500,0.08
make_cut,"Stone, Brandon",fanduel,-174,0.0755
top_10,"Schaper, Jayden",bet365,+500,0.074
win,"Jarvis, Casey",pinnacle,+13249,0.0679
top_10,"Whitnell, Dale",bet365,+5500,0.064
make_cut,"Ayora, Angel",draftkings,-150,0.0633
top_5,"Neergaard-Petersen, Rasmus",bet365,+425,0.0605
make_cut,"Laporta, Francesco",bet365,-189,0.0581
win,"Stone, Brandon",bet365,+4500,0.058
make_cut,"Cockerill, Aaron",draftkings,-115,0.0544
top_20,"Stone, Brandon",bet365,+240,0.054
win,"Aiken, Thomas",fanduel,+35000,0.053
top_20,"Schaper, Jayden",bet365,+240,0.0472
top_20,"Ding, Wenyi",bet365,+275,0.0463
win,"Del Rey, Alejandro",pinnacle,+12973,0.0458
top_10,"Nakajima, Keita",bet365,+350,0.044
win,"Nakajima, Keita",bet365,+2800,0.044
top_20,"Schmidt, Ben",unibet,+600,0.043
top_20,"Neergaard-Petersen, Rasmus",unibet,+120,0.0428
top_5,"Nakajima, Keita",bet365,+650,0.0425
make_cut,"Hillier, Daniel",fanduel,-154,0.0424
make_cut,"Sharma, Shubhankar",draftkings,+130,0.0396
make_cut,"Johnston, Ryggs",draftkings,+150,0.0375
top_20,"Bradbury, Dan",unibet,+750,0.037
make_cut,"Guerrier, Julien",fanduel,-154,0.0358
make_cut,"Ding, Wenyi",bet365,-175,0.0324
make_cut,"Southgate, Matthew",draftkings,-110,0.0309
make_cut,"Aiken, Thomas",draftkings,+125,0.0305
top_10,"Neergaard-Petersen, Rasmus",bet365,+225,0.027
make_cut,"Neergaard-Petersen, Rasmus",caesars,-333,0.0259
make_cut,"Jarvis, Casey",draftkings,-115,0.0245
make_cut,"Reitan, Kristoffer",draftkings,-200,0.0245
make_cut,"Schmidt, Ben",draftkings,-110,0.0233
top_10,"Johnston, Ryggs",unibet,+3000,0.023
make_cut,"Schaper, Jayden",bet365,-200,0.023
make_cut,"Nakajima, Keita",bet365,-250,0.022
make_cut,"Gumberg, Jordan",draftkings,+125,0.0215
make_cut,"Vaillant, Tom",draftkings,-120,0.0212
make_cut,"Purcell, Conor",draftkings,-105,0.0211
win,"Neergaard-Petersen, Rasmus",bet365,+1600,0.02
make_cut,"Zanotti, Fabrizio",draftkings,-140,0.02
make_cut,"Akesson, Bjorn",draftkings,+230,0.0197
make_cut,"Veerman, Johannes",caesars,-164,0.019
make_cut,"Kinhult, Marcus",draftkings,-125,0.0188
make_cut,"Fitzpatrick, Alex",fanduel,-144,0.0184
make_cut,"Frittelli, Dylan",draftkings,+100,0.016
make_cut,"Luiten, Joost",draftkings,-275,0.0159
win,"Brown, Daniel",betcris,+12589,0.0151
top_20,"Nakajima, Keita",unibet,+170,0.0125
top_20,"Purcell, Conor",unibet,+650,0.0125
make_cut,"Van Driel, Darius",draftkings,-120,0.0083
top_20,"Cockerill, Aaron",unibet,+500,0.008
make_cut,"De Leo, Gregorio",draftkings,+125,0.008
make_cut,"Parry, John",caesars,-164,0.0077
top_20,"Reitan, Kristoffer",unibet,+225,0.0075
make_cut,"Del Rey, Alejandro",draftkings,-125,0.0062
make_cut,"Williams, Robin",draftkings,+100,0.006
make_cut,"Paul, Yannik",draftkings,-115,0.0058
make_cut,"Bairstow, Sam",draftkings,-200,0.005
make_cut,"Hebert, Benjamin",draftkings,+115,0.0041
win,"Forsstrom, Simon",fanduel,+25000,0.004
make_cut,"Li, Haotong",fanduel,-250,0.0038
make_cut,"Girrbach, Joel",draftkings,+140,0.0032
top_10,"Halvorsen, Andreas",unibet,+1600,0.003
make_cut,"Ferguson, Ewen",bet365,-227,0.0026
make_cut,"Pavan, Andrea",bet365,-175,0.0026
make_cut,"Elvira, Manuel",draftkings,+105,0.0024
make_cut,"Shinkwin, Callum",draftkings,-110,0.0023
make_cut,"Forsstrom, Simon",draftkings,+115,0.0019
win,"Lemke, Niklas",betcris,+16589,0.0013
make_cut,"Von Dellingshausen, Nicolai",draftkings,-140,0.0011
win,"Akesson, Bjorn",bet365,+100000,0.001
make_cut,"Amat, Bastien",draftkings,+250,0.001
make_cut,"Katsuragawa, Yuto",draftkings,-125,0.0008
win,"Guerrier, Julien",pinnacle,+7048,0.0007
