PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Aberg, Ludvig",71.003,70.967
"Adam, Cameron",74.367,74.367
"Akutsu, Mikiya",74.399,74.399
"An, Byeong Hun",72.064,72.083
"Axelsen, John",74.318,74.318
"Berger, Daniel",71.507,71.596
"Bezuidenhout, Christiaan",71.843,71.822
"Bhatia, Akshay",71.896,72.025
"Bloor, George",74.515,74.515
"Bradley, Keegan",71.415,71.507
"Brown, Daniel",72.36,72.303
"Burmester, Dean",72.302,72.175
"Burns, Sam",71.314,71.322
"Campbell, Brian",72.979,72.979
"Canter, Laurie",71.932,71.912
"Cantlay, Patrick",71.23,71.241
"Catlin, John",73.041,73.041
"Cauley, Bud",72.032,72.069
"Cave, Seb",75.187,75.187
"Choi, K.J.",74.875,74.875
"Cink, Stewart",72.993,73.002
"Clark, Wyndham",71.951,71.793
"Clarke, Darren",74.313,74.11
"Conners, Corey",71.184,71.264
"Couvra, Martin",72.639,72.615
"Day, Jason",71.629,71.623
"DeChambeau, Bryson",70.519,70.595
"Detry, Thomas",71.971,71.994
"Echavarria, Nico",72.217,72.284
"English, Harris",71.447,71.445
"Fang, Ethan",73.81,73.81
"Farrell, OJ",75.924,75.924
"Fichardt, Darren",73.997,73.997
"Finau, Tony",72.224,72.225
"Fitzpatrick, Matt",71.121,71.06
"Fleetwood, Tommy",70.521,70.555
"Fowler, Rickie",71.957,72.036
"Fox, Ryan",71.729,71.605
"Garcia, Sergio",72.246,72.288
"Glover, Lucas",72.071,72.131
"Gotterup, Chris",71.477,71.511
"Graham, Connor",74.251,74.251
"Greyserman, Max",71.741,71.862
"Griffin, Ben",71.36,71.333
"Guerrier, Julien",72.965,72.965
"Hall, Harry",71.374,71.363
"Harman, Brian",71.921,71.97
"Harrington, Padraig",73.205,73.114
"Hastings, Justin",74.127,74.127
"Hatton, Tyrrell",70.905,70.923
"Henley, Russell",71.344,71.322
"Herbert, Lucas",72.073,72.106
"Hidalgo Portillo, Angel",73.64,73.64
"Hillier, Daniel",72.875,72.875
"Hoge, Tom",72.404,72.323
"Hojgaard, Nicolai",71.605,71.606
"Hojgaard, Rasmus",72.044,71.919
"Hoshino, Rikuya",72.948,72.922
"Hovland, Viktor",70.947,70.963
"Hughes, Mackenzie",72.284,72.263
"Im, Sungjae",72.003,71.928
"Imahira, Shugo",73.86,73.86
"Jaeger, Stephan",72.619,72.629
"Jakubcik, Filip",73.8,73.8
"Johnson, Dustin",72.315,72.295
"Johnson, Zach",72.926,72.917
"Johnston, Ryggs",74.03,74.03
"Jones, Frazer",76.184,76.184
"Jordan, Matthew",72.497,72.417
"Kaewkanjana, Sadom",73.243,73.243
"Kanaya, Takumi",72.741,72.767
"Kawamoto, Riki",73.804,73.804
"Kim, Michael",71.913,71.95
"Kim, Si Woo",71.451,71.478
"Kim, Tom",71.921,71.873
"Kimsey, Nathan",72.959,72.959
"Kirk, Chris",72.454,72.484
"Knipes, Curtis",76.394,76.394
"Koepka, Brooks",72.083,72.066
"Kokrak, Jason",72.969,72.969
"Langasque, Romain",72.975,72.975
"Lawrence, Thriston",72.365,72.242
"Lee, Min Woo",71.93,71.847
"Leishman, Marc",72.591,72.629
"Leonard, Justin",74.733,74.733
"Li, Haotong",72.425,72.521
"Lindell, Oliver",73.056,73.056
"Lowry, Shane",71.273,71.2
"Luck, Curtis",73.906,73.906
"MacIntyre, Robert",71.188,71.065
"Manassero, Matteo",72.702,72.766
"Matsuyama, Hideki",71.725,71.729
"McCarthy, Denny",71.953,71.947
"McCarty, Matt",72.108,72.121
"McIlroy, Rory",70.326,70.209
"McKibbin, Tom",71.75,71.685
"McNealy, Maverick",71.319,71.348
"Mickelson, Phil",73.225,73.235
"Migliozzi, Guido",73.655,73.655
"Molinari, Francesco",72.999,73.019
"Morikawa, Collin",70.919,71.0
"Naidoo, Dylan",73.97,73.97
"Newman, Bryan",77.063,77.063
"Niemann, Joaquin",71.149,71.2
"Norgaard, Niklas",72.211,72.185
"Norris, Shaun",73.123,73.123
"Novak, Andrew",71.709,71.797
"Olesen, Jacob Skov",73.093,73.093
"Olesen, Thorbjorn",71.917,71.912
"Oosthuizen, Louis",72.13,72.147
"Ortiz, Carlos",71.995,72.066
"Parry, John",72.453,72.453
"Pavon, Matthieu",72.919,72.899
"Peake, Ryan",74.906,74.906
"Pendrith, Taylor",71.466,71.474
"Penge, Marco",71.651,71.622
"Poston, J.T.",71.879,71.983
"Potgieter, Aldrich",72.573,72.386
"Rahm, Jon",70.191,70.175
"Rai, Aaron",71.25,71.299
"Reed, Patrick",71.543,71.487
"Reitan, Kristoffer",72.213,72.173
"Riley, Davis",72.885,73.088
"Rose, Justin",71.98,71.872
"Rozner, Antoine",72.361,72.316
"Saddier, Adrien",72.759,72.663
"Sandborg, Jesper",75.031,75.031
"Schauffele, Xander",70.808,70.732
"Scheffler, Scottie",69.501,69.632
"Schmid, Matti",72.15,72.105
"Scott, Adam",71.224,71.323
"Smith, Cameron",71.969,72.056
"Smith, Jordan",71.814,71.688
"Smylie, Elvis",73.07,73.07
"Soderberg, Sebastian",72.844,72.844
"Song, Younghan",73.726,73.726
"Spaun, J.J.",71.402,71.509
"Spieth, Jordan",71.391,71.474
"Stenson, Henrik",72.978,73.179
"Straka, Sepp",71.228,71.274
"Suh, Justin",73.716,73.716
"Svensson, Jesper",72.13,72.084
"Taylor, Nick",71.583,71.631
"Teder, Richard",75.81,75.81
"Theegala, Sahith",72.663,72.663
"Thomas, Justin",71.19,71.19
"Thompson, Davis",71.754,71.886
"Van Tonder, Daniel",73.45,73.45
"Vegas, Jhonattan",72.32,72.293
"Wallace, Matt",71.834,71.76
"Walters, Justin",74.719,74.719
"Westwood, Lee",73.612,73.411
"Young, Cameron",72.025,71.97
"Young, Daniel",73.723,73.723
"Yu, Kevin",71.757,71.853
"Zheng, Sampson",74.024,74.024
