team_id,team_name,player_name,position,overall_rating
623,Air Force,Payton Zdroik,DT,88
623,Air Force,Dylan Carson,FB,87
623,Air Force,Samuel Floysand,RT,87
623,Air Force,Jace Sutulovich,RG,87
623,Air Force,Costen Cooley,C,86
623,Air Force,Quin Smith,WR,86
623,Air Force,Gabriel Averitt,C,85
623,Air Force,Owen Allen,FB,84
623,Air Force,Bruin Fleischmann,TE,84
623,Air Force,Trevor Tate,LT,84
623,Air Force,Alec Falk,LG,83
623,Air Force,Zach Van Miller,DT,82
623,Air Force,Jack Burnett,C,81
623,Air Force,Kyle Chen,SS,80
623,Air Force,Jackson Adams,LOLB,80
623,Air Force,Parker Menefee,TE,79
623,Air Force,Zach Juckel,MLB,79
623,Air Force,Amari Wilkerson,WR,79
623,Air Force,Kemper Hodges,FB,78
623,Air Force,Greg Flinn,DT,78
623,Air Force,Terrence Gist,FB,77
623,Air Force,Evan Rau,CB,77
623,Air Force,Brody Bujnoch,MLB,77
623,Air Force,Nathan Elwood,RT,76
623,Air Force,Chances Carter Hill,LOLB,76
623,Air Force,Houston Hendrix,FS,75
623,Air Force,Tre Roberson,WR,75
623,Air Force,Jayden Oquendo,DT,75
623,Air Force,Seth Mcfarland,ROLB,75
623,Air Force,Tj Tarascio,LG,74
623,Air Force,Blake Fletcher,ROLB,73
623,Air Force,Gage Spencer,RT,73
623,Air Force,Levi Brown,FS,72
623,Air Force,Daryl Slaughter,QB,72
623,Air Force,Dallas Daley,ROLB,72
623,Air Force,Eric Hull,SS,72
623,Air Force,Tommy Forney,LOLB,72
623,Air Force,Lukia Rawls Jr,DT,71
623,Air Force,Korey Johnson,CB,70
623,Air Force,Josh Johnson,QB,70
623,Air Force,Josh Verner,WR,70
623,Air Force,Liam Szarka,QB,69
623,Air Force,Luke Freer,P,68
623,Air Force,Nick Beckwith,CB,68
623,Air Force,Damion Clinton,WR,68
623,Air Force,Roman Knox,WR,68
623,Air Force,Justin Harrington,CB,67
623,Air Force,Leslie Rowe,MLB,67
623,Air Force,Kurt Chesney,TE,65
623,Air Force,T J Carter,CB,64
623,Air Force,Jaylin Reese,LOLB,63
623,Air Force,Corey Conrad,TE,63
623,Air Force,Christopher Tuck Walker,MLB,62
623,Air Force,Matthew Donaldson,CB,62
623,Air Force,Jonathan Hoffman,TE,62
623,Air Force,Hasaan Mccormick,FS,62
623,Air Force,Leon Mcneal,WR,62
623,Air Force,Eric Harrison,WR,61
623,Air Force,Reagan Tubbs,K,60
623,Air Force,Isaac Hubert,LOLB,60
623,Air Force,Max Collins Davis,RG,59
623,Air Force,Mike Kitchen,CB,59
623,Air Force,Shamir Booth,LT,59
623,Air Force,Brandon Samuel,MLB,58
623,Air Force,Brendan Caldwell,MLB,57
623,Air Force,Nathan Davis,MLB,52
623,Air Force,Kimani Holmes,CB,52
623,Air Force,Alex Thompson,LG,52
623,Air Force,Kerry Stockton,ROLB,44
624,Akron,Daniel Sheldon,RT,88
624,Akron,Delvin Morris,C,84
624,Akron,Ben Finley,QB,83
624,Akron,Jake Newell,TE,82
624,Akron,Israel Polk,WR,82
624,Akron,Kiawan Murphy,DT,82
624,Akron,Dayne Shor,LT,82
624,Akron,Justin Anderson,SS,81
624,Akron,Keylen Davis,LG,81
624,Akron,Ben Kamara,CB,79
624,Akron,Darrell Johnson Jr,LT,78
624,Akron,Conner Cravaack,TE,77
624,Akron,Max Mobley,C,77
624,Akron,Ryan Oliver,LT,77
624,Akron,Alex Adams,WR,76
624,Akron,Maasai King,RT,76
624,Akron,Aman Greenwood,CB,76
624,Akron,Colin Lyons,RG,76
624,Akron,Melvin Spriggs,ROLB,76
624,Akron,Khalil Witherspoon,TE,76
624,Akron,Gage Summers,MLB,75
624,Akron,Shammond Cooper,ROLB,75
624,Akron,Alex Branch,CB,75
624,Akron,Mehki Flowers,FS,74
624,Akron,Jaiden Brown Demery,LG,74
624,Akron,Devin Reeves,LOLB,74
624,Akron,Paul Davis,WR,74
624,Akron,Jonas Mann,RT,73
624,Akron,Rich Benenge,MLB,73
624,Akron,Gavin James,MLB,73
624,Akron,Max Whisner,TE,72
624,Akron,Johnny Brookhart,QB,72
624,Akron,Derrick Hoover,FS,72
624,Akron,Austin Wondolowski,LOLB,72
624,Akron,Brandon Hills,WR,72
624,Akron,Dj Stepney,FS,71
624,Akron,Iesa Jarmon,CB,71
624,Akron,Tim Grear Jr,WR,70
624,Akron,Ronald Hull,DT,70
